step,loss/train,loss/val,f1/val,acc_largest/val,acc_random/val,replicate,net_name,method,mode,loss_func
132,0.2458973973989487,,,,,8,VGG16,transfer,classify,BCE
133,0.22569099068641665,,,,,8,VGG16,transfer,classify,BCE
135,0.25016388297080994,,,,,8,VGG16,transfer,classify,BCE
136,0.2265760749578476,,,,,8,VGG16,transfer,classify,BCE
137,0.2472813129425049,,,,,8,VGG16,transfer,classify,BCE
139,0.20755887031555176,,,,,8,VGG16,transfer,classify,BCE
140,0.2710106074810028,,,,,8,VGG16,transfer,classify,BCE
141,0.2727796733379364,,,,,8,VGG16,transfer,classify,BCE
143,0.2072431892156601,,,,,8,VGG16,transfer,classify,BCE
145,0.2298717498779297,,,,,8,VGG16,transfer,classify,BCE
146,0.2548818588256836,,,,,8,VGG16,transfer,classify,BCE
147,0.2438308298587799,,,,,8,VGG16,transfer,classify,BCE
149,0.2376834452152252,,,,,8,VGG16,transfer,classify,BCE
150,0.258051335811615,0.22981083393096924,0.023063609376549717,0.2183011025190353,0.2439226508140564,8,VGG16,transfer,classify,BCE
152,0.21964573860168454,,,,,8,VGG16,transfer,classify,BCE
153,0.25468602776527405,,,,,8,VGG16,transfer,classify,BCE
155,0.2404478043317795,,,,,8,VGG16,transfer,classify,BCE
156,0.23348616063594815,,,,,8,VGG16,transfer,classify,BCE
157,0.2417539358139038,,,,,8,VGG16,transfer,classify,BCE
158,0.1956588476896286,,,,,8,VGG16,transfer,classify,BCE
159,0.23530717194080356,,,,,8,VGG16,transfer,classify,BCE
161,0.1858232468366623,,,,,8,VGG16,transfer,classify,BCE
162,0.2117895931005478,,,,,8,VGG16,transfer,classify,BCE
163,0.2279393672943115,,,,,8,VGG16,transfer,classify,BCE
165,0.23309241235256195,,,,,8,VGG16,transfer,classify,BCE
166,0.21742680668830872,,,,,8,VGG16,transfer,classify,BCE
168,0.2024707794189453,,,,,8,VGG16,transfer,classify,BCE
169,0.24974051117897034,,,,,8,VGG16,transfer,classify,BCE
172,0.20722678303718567,,,,,8,VGG16,transfer,classify,BCE
174,0.21942000091075894,,,,,8,VGG16,transfer,classify,BCE
176,0.2342048138380051,,,,,8,VGG16,transfer,classify,BCE
177,0.2081444263458252,,,,,8,VGG16,transfer,classify,BCE
183,0.2569125592708588,,,,,8,VGG16,transfer,classify,BCE
185,0.21269717812538147,,,,,8,VGG16,transfer,classify,BCE
186,0.2317143976688385,,,,,8,VGG16,transfer,classify,BCE
187,0.2404407113790512,,,,,8,VGG16,transfer,classify,BCE
188,0.2750843465328217,,,,,8,VGG16,transfer,classify,BCE
189,0.21637292206287384,,,,,8,VGG16,transfer,classify,BCE
190,0.23767995834350586,,,,,8,VGG16,transfer,classify,BCE
191,0.2199336290359497,,,,,8,VGG16,transfer,classify,BCE
192,0.2214740365743637,,,,,8,VGG16,transfer,classify,BCE
193,0.21200528740882876,,,,,8,VGG16,transfer,classify,BCE
194,0.23135343194007876,,,,,8,VGG16,transfer,classify,BCE
195,0.2276143282651901,,,,,8,VGG16,transfer,classify,BCE
196,0.2614763081073761,,,,,8,VGG16,transfer,classify,BCE
198,0.2372398376464844,,,,,8,VGG16,transfer,classify,BCE
199,0.22017455101013186,,,,,8,VGG16,transfer,classify,BCE
200,,0.2205761671066284,0.03382860869169235,0.244889497756958,0.26698896288871765,8,VGG16,transfer,classify,BCE
201,0.2150712013244629,,,,,8,VGG16,transfer,classify,BCE
202,0.1938388794660568,,,,,8,VGG16,transfer,classify,BCE
203,0.23689351975917816,,,,,8,VGG16,transfer,classify,BCE
204,0.2154679298400879,,,,,8,VGG16,transfer,classify,BCE
206,0.21929123997688293,,,,,8,VGG16,transfer,classify,BCE
207,0.20934556424617767,,,,,8,VGG16,transfer,classify,BCE
209,0.231799989938736,,,,,8,VGG16,transfer,classify,BCE
211,0.22304342687129972,,,,,8,VGG16,transfer,classify,BCE
212,0.21523289382457733,,,,,8,VGG16,transfer,classify,BCE
213,0.22348785400390625,,,,,8,VGG16,transfer,classify,BCE
214,0.2565445601940155,,,,,8,VGG16,transfer,classify,BCE
215,0.2080724984407425,,,,,8,VGG16,transfer,classify,BCE
216,0.18714970350265506,,,,,8,VGG16,transfer,classify,BCE
217,0.2144145220518112,,,,,8,VGG16,transfer,classify,BCE
219,0.22140955924987796,,,,,8,VGG16,transfer,classify,BCE
220,0.2385133057832718,,,,,8,VGG16,transfer,classify,BCE
221,0.18853910267353055,,,,,8,VGG16,transfer,classify,BCE
222,0.2294111251831055,,,,,8,VGG16,transfer,classify,BCE
223,0.19878971576690674,,,,,8,VGG16,transfer,classify,BCE
224,0.2517998516559601,,,,,8,VGG16,transfer,classify,BCE
