,net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime
878,CORnet_S,transfer,classify,0.001,1,chair,7,both,46,56,0.8214285714285714,,,
886,CORnet_S,transfer,classify,0.001,1,chair,8,both,37,43,0.8604651162790697,,,
884,CORnet_S,transfer,classify,0.001,1,chair,9,both,24,27,0.8888888888888888,,,
944,CORnet_S,transfer,classify,0.001,2,chair,1,both,1206,1233,0.978102189781022,,,
943,CORnet_S,transfer,classify,0.001,2,chair,2,both,603,655,0.9206106870229008,,,
946,CORnet_S,transfer,classify,0.001,2,chair,3,both,315,355,0.8873239436619719,,,
949,CORnet_S,transfer,classify,0.001,2,chair,4,both,184,211,0.8720379146919431,,,
945,CORnet_S,transfer,classify,0.001,2,chair,5,both,100,127,0.7874015748031497,,,
950,CORnet_S,transfer,classify,0.001,2,chair,6,both,67,84,0.7976190476190477,,,
947,CORnet_S,transfer,classify,0.001,2,chair,7,both,46,56,0.8214285714285714,,,
955,CORnet_S,transfer,classify,0.001,2,chair,8,both,39,43,0.9069767441860463,,,
953,CORnet_S,transfer,classify,0.001,2,chair,9,both,24,27,0.8888888888888888,,,
1013,CORnet_S,transfer,classify,0.001,3,chair,1,both,1211,1233,0.9821573398215734,,,
1012,CORnet_S,transfer,classify,0.001,3,chair,2,both,605,655,0.9236641221374046,,,
1015,CORnet_S,transfer,classify,0.001,3,chair,3,both,319,355,0.8985915492957747,,,
1018,CORnet_S,transfer,classify,0.001,3,chair,4,both,185,211,0.8767772511848341,,,
1014,CORnet_S,transfer,classify,0.001,3,chair,5,both,101,127,0.7952755905511811,,,
1019,CORnet_S,transfer,classify,0.001,3,chair,6,both,69,84,0.8214285714285714,,,
1016,CORnet_S,transfer,classify,0.001,3,chair,7,both,49,56,0.875,,,
1024,CORnet_S,transfer,classify,0.001,3,chair,8,both,37,43,0.8604651162790697,,,
1022,CORnet_S,transfer,classify,0.001,3,chair,9,both,24,27,0.8888888888888888,,,
1082,CORnet_S,transfer,classify,0.001,4,chair,1,both,1201,1233,0.9740470397404704,,,
1081,CORnet_S,transfer,classify,0.001,4,chair,2,both,600,655,0.916030534351145,,,
1084,CORnet_S,transfer,classify,0.001,4,chair,3,both,319,355,0.8985915492957747,,,
