step,loss/train,loss/val,f1/val,acc_largest/val,acc_random/val,replicate,net_name,method,mode,loss_func
88,2.3516318798065186,,,,,8,CORnet_S,transfer,classify,CE_random
89,2.7897534370422363,,,,,8,CORnet_S,transfer,classify,CE_random
90,2.432906150817871,,,,,8,CORnet_S,transfer,classify,CE_random
91,2.5423619747161865,,,,,8,CORnet_S,transfer,classify,CE_random
92,2.8660030364990234,,,,,8,CORnet_S,transfer,classify,CE_random
93,2.397874116897583,,,,,8,CORnet_S,transfer,classify,CE_random
94,2.7873528003692627,,,,,8,CORnet_S,transfer,classify,CE_random
95,2.0902040004730225,,,,,8,CORnet_S,transfer,classify,CE_random
96,2.4839918613433842,,,,,8,CORnet_S,transfer,classify,CE_random
97,2.6379599571228027,,,,,8,CORnet_S,transfer,classify,CE_random
98,2.2357957363128658,,,,,8,CORnet_S,transfer,classify,CE_random
99,2.5143718719482417,,,,,8,CORnet_S,transfer,classify,CE_random
100,2.254983901977539,2.3640460968017583,0.13933655619621274,0.26042819023132324,0.2877762317657471,8,CORnet_S,transfer,classify,CE_random
101,2.3560028076171875,,,,,8,CORnet_S,transfer,classify,CE_random
102,2.0008773803710938,,,,,8,CORnet_S,transfer,classify,CE_random
103,2.481043815612793,,,,,8,CORnet_S,transfer,classify,CE_random
104,2.5041167736053467,,,,,8,CORnet_S,transfer,classify,CE_random
105,2.74153995513916,,,,,8,CORnet_S,transfer,classify,CE_random
106,2.1327223777771,,,,,8,CORnet_S,transfer,classify,CE_random
107,2.381281852722168,,,,,8,CORnet_S,transfer,classify,CE_random
108,2.7244768142700195,,,,,8,CORnet_S,transfer,classify,CE_random
109,2.92035174369812,,,,,8,CORnet_S,transfer,classify,CE_random
110,2.67094087600708,,,,,8,CORnet_S,transfer,classify,CE_random
111,2.259326457977295,,,,,8,CORnet_S,transfer,classify,CE_random
112,2.251067638397217,,,,,8,CORnet_S,transfer,classify,CE_random
113,2.4978480339050293,,,,,8,CORnet_S,transfer,classify,CE_random
114,2.2384257316589355,,,,,8,CORnet_S,transfer,classify,CE_random
115,2.318603038787842,,,,,8,CORnet_S,transfer,classify,CE_random
116,2.417461633682251,,,,,8,CORnet_S,transfer,classify,CE_random
117,2.3993921279907227,,,,,8,CORnet_S,transfer,classify,CE_random
118,2.1130354404449463,,,,,8,CORnet_S,transfer,classify,CE_random
119,2.962348222732544,,,,,8,CORnet_S,transfer,classify,CE_random
120,2.2309014797210693,,,,,8,CORnet_S,transfer,classify,CE_random
121,2.920285701751709,,,,,8,CORnet_S,transfer,classify,CE_random
