net_name,PWVvPWHCV,RVvRHGV,Bx_v_RxRo,RVvGV,YT_v_BTBL,TvT,PWVvCV,Bx_v_RxBo,YT_v_BTYL,2_v_5
alexnet,0.353125,0.12265625000000002,0.07578125000000002,0.09296874999999993,0.014062499999999978,0.36406249999999996,0.30000000000000004,0.25390625,0.31875,0.22578125000000004
VGG16,0.234375,0.07578125000000002,0.10546875,0.04609374999999993,0.03828124999999993,0.10625000000000007,0.24531249999999993,0.16015625,0.2265625,0.3265625
