stimulus,acc_diff,set_size_1_acc
PWVvPWHCV,0.29375,1.0
RVvRHGV,0.09921875000000002,1.0
Bx_v_RxRo,0.09062500000000001,1.0
RVvGV,0.06953124999999993,1.0
YT_v_BTBL,0.026171874999999956,1.0
TvT,0.23515625,0.99921875
PWVvCV,0.27265625,0.998828125
Bx_v_RxBo,0.20703125,0.998828125
YT_v_BTYL,0.27265625,0.98359375
2_v_5,0.276171875,0.796484375
