net_name,RVvGV,Bx_v_RxRo,RVvRHGV,YT_v_BTBL,TvT,YT_v_BTYL,PWVvPWHCV,PWVvCV,Bx_v_RxBo,2_v_5
VGG16,0.014062499999999978,0.19062499999999993,0.07265624999999998,0.010937500000000044,0.14453125,0.21796874999999993,0.16562500000000002,0.20468750000000002,0.2875,0.37578124999999996
alexnet,0.03125,0.15312499999999996,0.2984375,0.0,0.2171875000000001,0.16874999999999996,0.29375000000000007,0.28046874999999993,0.1328125,0.03750000000000009
