net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime
alexnet,transfer,classify,0.001,1,RVvGV,1,present,80,80,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,present,80,80,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,present,80,80,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,present,77,80,0.9625,,,
alexnet,transfer,classify,0.001,1,RVvGV,1,absent,80,80,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,absent,80,80,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,absent,80,80,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,absent,80,80,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,1,both,160,160,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,2,both,160,160,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,4,both,160,160,1.0,,,
alexnet,transfer,classify,0.001,1,RVvGV,8,both,157,160,0.98125,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,present,80,80,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,present,78,80,0.975,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,present,76,80,0.95,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,present,69,80,0.8625,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,absent,80,80,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,absent,80,80,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,absent,77,80,0.9625,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,absent,57,80,0.7125,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,1,both,160,160,1.0,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,2,both,158,160,0.9875,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,4,both,153,160,0.95625,,,
alexnet,transfer,classify,0.001,1,RVvRHGV,8,both,126,160,0.7875,,,
alexnet,transfer,classify,0.001,1,PWVvCV,1,present,80,80,1.0,,,
alexnet,transfer,classify,0.001,1,PWVvCV,2,present,70,80,0.875,,,
alexnet,transfer,classify,0.001,1,PWVvCV,4,present,68,80,0.85,,,
alexnet,transfer,classify,0.001,1,PWVvCV,8,present,46,80,0.575,,,
alexnet,transfer,classify,0.001,1,PWVvCV,1,absent,79,80,0.9875,,,
alexnet,transfer,classify,0.001,1,PWVvCV,2,absent,72,80,0.9,,,
alexnet,transfer,classify,0.001,1,PWVvCV,4,absent,49,80,0.6125,,,
alexnet,transfer,classify,0.001,1,PWVvCV,8,absent,59,80,0.7375,,,
alexnet,transfer,classify,0.001,1,PWVvCV,1,both,159,160,0.99375,,,
alexnet,transfer,classify,0.001,1,PWVvCV,2,both,142,160,0.8875,,,
alexnet,transfer,classify,0.001,1,PWVvCV,4,both,117,160,0.73125,,,
alexnet,transfer,classify,0.001,1,PWVvCV,8,both,105,160,0.65625,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,1,present,80,80,1.0,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,2,present,77,80,0.9625,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,4,present,66,80,0.825,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,8,present,45,80,0.5625,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,1,absent,79,80,0.9875,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,2,absent,77,80,0.9625,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,4,absent,70,80,0.875,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,8,absent,55,80,0.6875,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,1,both,159,160,0.99375,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,2,both,154,160,0.9625,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,4,both,136,160,0.85,,,
alexnet,transfer,classify,0.001,1,PWVvPWHCV,8,both,100,160,0.625,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,present,77,80,0.9625,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,present,74,80,0.925,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,present,36,80,0.45,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,present,62,80,0.775,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,absent,28,80,0.35,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,absent,29,80,0.3625,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,absent,58,80,0.725,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,absent,29,80,0.3625,,,
alexnet,transfer,classify,0.001,1,2_v_5,1,both,105,160,0.65625,,,
alexnet,transfer,classify,0.001,1,2_v_5,2,both,103,160,0.64375,,,
alexnet,transfer,classify,0.001,1,2_v_5,4,both,94,160,0.5875,,,
alexnet,transfer,classify,0.001,1,2_v_5,8,both,91,160,0.56875,,,
alexnet,transfer,classify,0.001,1,YT_v_BTYL,1,present,80,80,1.0,,,
