net_name,Bx_v_RxRo,YT_v_BTBL,Bx_v_RxBo,RVvGV,RVvRHGV,PWVvPWHCV,PWVvCV,TvT,YT_v_BTYL,2_v_5
CORnet_S,0.2585937500000002,0.17265625000000018,0.31640625,0.20781249999999984,0.26484374999999993,0.24765625000000024,0.3218749999999998,0.1890624999999999,0.21562500000000018,0.011718749999999889
CORnet_Z,0.14062499999999967,0.1578124999999999,0.18671874999999993,0.1835937500000001,0.25546875,0.3015625000000003,0.36171874999999976,0.25156250000000024,0.22578124999999993,0.10546874999999989
VGG16,0.09375,0.06874999999999976,0.06328125000000007,0.22265625,0.26484375000000016,0.3398437499999999,0.3437499999999999,0.2406250000000001,0.13593750000000016,0.24453124999999987
alexnet,0.014843749999999933,0.03281250000000002,0.08281249999999984,0.06406250000000002,0.22890624999999998,0.35859374999999993,0.34140625000000013,0.36015625000000007,0.24453124999999987,0.10859374999999982
