net_name,net_number,stimulus,set_size_1_acc,set_size_8_acc,set_size_1_err,set_size_effect,set_size_1_err_plus_effect
alexnet,8,YT_v_BTYL,96.875,70.625,3.125,26.25,29.375
alexnet,8,YT_v_BTBL,100.0,96.25,0.0,3.75,3.75
alexnet,8,Bx_v_RxBo,100.0,92.5,0.0,7.5,7.5
alexnet,8,Bx_v_RxRo,100.0,99.375,0.0,0.625,0.625
alexnet,8,TvT,100.0,68.75,0.0,31.25,31.25
VGG16,1,RVvGV,100.0,66.875,0.0,33.125,33.125
VGG16,1,RVvRHGV,100.0,70.0,0.0,30.0,30.0
VGG16,1,PWVvCV,98.75,63.125,1.25,35.625,36.875
VGG16,1,PWVvPWHCV,100.0,65.625,0.0,34.375,34.375
VGG16,1,2_v_5,88.75,68.125,11.25,20.625,31.875
VGG16,1,YT_v_BTYL,100.0,83.75,0.0,16.25,16.25
VGG16,1,YT_v_BTBL,100.0,90.625,0.0,9.375,9.375
VGG16,1,Bx_v_RxBo,100.0,92.5,0.0,7.5,7.5
VGG16,1,Bx_v_RxRo,100.0,91.25,0.0,8.75,8.75
VGG16,1,TvT,100.0,76.875,0.0,23.125,23.125
VGG16,2,RVvGV,100.0,77.5,0.0,22.5,22.5
VGG16,2,RVvRHGV,100.0,74.375,0.0,25.625,25.625
VGG16,2,PWVvCV,99.375,65.625,0.625,33.75,34.375
VGG16,2,PWVvPWHCV,99.375,70.0,0.625,29.375,30.0
VGG16,2,2_v_5,97.5,70.0,2.5,27.5,30.0
VGG16,2,YT_v_BTYL,100.0,87.5,0.0,12.5,12.5
VGG16,2,YT_v_BTBL,100.0,92.5,0.0,7.5,7.5
VGG16,2,Bx_v_RxBo,100.0,89.375,0.0,10.625,10.625
VGG16,2,Bx_v_RxRo,100.0,90.625,0.0,9.375,9.375
VGG16,2,TvT,100.0,77.5,0.0,22.5,22.5
VGG16,3,RVvGV,100.0,75.0,0.0,25.0,25.0
VGG16,3,RVvRHGV,100.0,76.25,0.0,23.75,23.75
VGG16,3,PWVvCV,100.0,66.875,0.0,33.125,33.125
VGG16,3,PWVvPWHCV,100.0,68.125,0.0,31.875,31.875
VGG16,3,2_v_5,96.875,68.125,3.125,28.75,31.875
VGG16,3,YT_v_BTYL,100.0,85.625,0.0,14.375,14.375
VGG16,3,YT_v_BTBL,100.0,92.5,0.0,7.5,7.5
VGG16,3,Bx_v_RxBo,100.0,95.0,0.0,5.0,5.0
VGG16,3,Bx_v_RxRo,100.0,92.5,0.0,7.5,7.5
VGG16,3,TvT,100.0,80.625,0.0,19.375,19.375
VGG16,4,RVvGV,100.0,73.75,0.0,26.25,26.25
VGG16,4,RVvRHGV,100.0,70.0,0.0,30.0,30.0
VGG16,4,PWVvCV,97.5,61.25000000000001,2.5,36.24999999999999,38.74999999999999
VGG16,4,PWVvPWHCV,100.0,68.75,0.0,31.25,31.25
VGG16,4,2_v_5,95.0,66.25,5.0,28.75,33.75
VGG16,4,YT_v_BTYL,100.0,84.375,0.0,15.625,15.625
VGG16,4,YT_v_BTBL,100.0,89.375,0.0,10.625,10.625
VGG16,4,Bx_v_RxBo,100.0,92.5,0.0,7.5,7.5
VGG16,4,Bx_v_RxRo,100.0,90.0,0.0,10.0,10.0
VGG16,4,TvT,100.0,77.5,0.0,22.5,22.5
VGG16,5,RVvGV,100.0,78.125,0.0,21.875,21.875
VGG16,5,RVvRHGV,100.0,73.75,0.0,26.25,26.25
VGG16,5,PWVvCV,100.0,63.74999999999999,0.0,36.25000000000001,36.25000000000001
VGG16,5,PWVvPWHCV,100.0,69.375,0.0,30.625,30.625
VGG16,5,2_v_5,98.125,70.0,1.875,28.125,30.0
VGG16,5,YT_v_BTYL,100.0,88.75,0.0,11.25,11.25
VGG16,5,YT_v_BTBL,100.0,91.875,0.0,8.125,8.125
VGG16,5,Bx_v_RxBo,100.0,94.375,0.0,5.625,5.625
VGG16,5,Bx_v_RxRo,100.0,91.875,0.0,8.125,8.125
VGG16,5,TvT,100.0,81.25,0.0,18.75,18.75
VGG16,6,RVvGV,100.0,74.375,0.0,25.625,25.625
VGG16,6,RVvRHGV,100.0,71.25,0.0,28.75,28.75
VGG16,6,PWVvCV,96.875,63.74999999999999,3.125,33.12500000000001,36.25000000000001
VGG16,6,PWVvPWHCV,98.75,62.5,1.25,36.25,37.5
VGG16,6,2_v_5,86.875,66.25,13.125,20.625,33.75
VGG16,6,YT_v_BTYL,100.0,81.25,0.0,18.75,18.75
VGG16,6,YT_v_BTBL,100.0,92.5,0.0,7.5,7.5
VGG16,6,Bx_v_RxBo,100.0,90.625,0.0,9.375,9.375
