net_name,stimulus,set_size_1_acc,set_size_8_acc,acc_diff
CORnet_S,2_v_5,0.5578125,0.5460937500000002,0.011718749999999889
CORnet_S,Bx_v_RxBo,0.9773437500000001,0.6609375000000001,0.31640625
CORnet_S,Bx_v_RxRo,0.9851562500000001,0.7265624999999999,0.2585937500000002
CORnet_S,PWVvCV,0.8999999999999999,0.5781250000000001,0.3218749999999998
CORnet_S,PWVvPWHCV,0.8882812500000002,0.640625,0.24765625000000024
CORnet_S,RVvGV,0.9656249999999998,0.7578125,0.20781249999999984
CORnet_S,RVvRHGV,0.9562499999999999,0.69140625,0.26484374999999993
CORnet_S,TvT,0.8476562499999999,0.65859375,0.1890624999999999
CORnet_S,YT_v_BTBL,0.9882812500000001,0.8156249999999999,0.17265625000000018
CORnet_S,YT_v_BTYL,0.8929687500000001,0.6773437499999999,0.21562500000000018
CORnet_Z,2_v_5,0.7062499999999998,0.6007812499999999,0.10546874999999989
CORnet_Z,Bx_v_RxBo,0.9937499999999999,0.80703125,0.18671874999999993
CORnet_Z,Bx_v_RxRo,1.0,0.8593750000000003,0.14062499999999967
CORnet_Z,PWVvCV,0.9671874999999998,0.60546875,0.36171874999999976
CORnet_Z,PWVvPWHCV,0.9875000000000003,0.6859375,0.3015625000000003
CORnet_Z,RVvGV,1.0,0.8164062499999999,0.1835937500000001
CORnet_Z,RVvRHGV,1.0,0.74453125,0.25546875
CORnet_Z,TvT,1.0,0.7484374999999998,0.25156250000000024
CORnet_Z,YT_v_BTBL,0.9937499999999999,0.8359375,0.1578124999999999
CORnet_Z,YT_v_BTYL,0.9820312499999999,0.75625,0.22578124999999993
VGG16,2_v_5,0.9562499999999999,0.7117187500000001,0.24453124999999987
VGG16,Bx_v_RxBo,1.0,0.9367187499999999,0.06328125000000007
VGG16,Bx_v_RxRo,1.0,0.90625,0.09375
VGG16,PWVvCV,0.99453125,0.6507812500000001,0.3437499999999999
VGG16,PWVvPWHCV,1.0,0.6601562500000001,0.3398437499999999
VGG16,RVvGV,1.0,0.77734375,0.22265625
VGG16,RVvRHGV,1.0,0.7351562499999998,0.26484375000000016
VGG16,TvT,1.0,0.7593749999999999,0.2406250000000001
VGG16,YT_v_BTBL,1.0,0.9312500000000002,0.06874999999999976
VGG16,YT_v_BTYL,1.0,0.8640624999999998,0.13593750000000016
alexnet,2_v_5,0.6984374999999998,0.58984375,0.10859374999999982
alexnet,Bx_v_RxBo,1.0,0.9171875000000002,0.08281249999999984
alexnet,Bx_v_RxRo,1.0,0.9851562500000001,0.014843749999999933
alexnet,PWVvCV,0.9875000000000002,0.64609375,0.34140625000000013
alexnet,PWVvPWHCV,0.98828125,0.6296875000000001,0.35859374999999993
alexnet,RVvGV,1.0,0.9359375,0.06406250000000002
alexnet,RVvRHGV,1.0,0.77109375,0.22890624999999998
alexnet,TvT,0.9906250000000001,0.63046875,0.36015625000000007
alexnet,YT_v_BTBL,1.0,0.9671875,0.03281250000000002
alexnet,YT_v_BTYL,0.9382812499999998,0.69375,0.24453124999999987
