net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,accuracy,hit_rate,false_alarm_rate,d_prime
alexnet,transfer,classify,0.001,3,RVvRHGV,1,present,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,2,present,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,4,present,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,8,present,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,1,absent,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,2,absent,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,4,absent,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,8,absent,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,1,both,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,2,both,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,4,both,1.0,,,
alexnet,transfer,classify,0.001,3,RVvRHGV,8,both,1.0,,,
alexnet,transfer,classify,0.001,3,2_v_5,1,present,0.9624060150375939,,,
alexnet,transfer,classify,0.001,3,2_v_5,2,present,0.7857142857142857,,,
alexnet,transfer,classify,0.001,3,2_v_5,4,present,0.7706766917293233,,,
alexnet,transfer,classify,0.001,3,2_v_5,8,present,0.41729323308270677,,,
alexnet,transfer,classify,0.001,3,2_v_5,1,absent,0.9022556390977443,,,
alexnet,transfer,classify,0.001,3,2_v_5,2,absent,0.868421052631579,,,
alexnet,transfer,classify,0.001,3,2_v_5,4,absent,0.6842105263157895,,,
alexnet,transfer,classify,0.001,3,2_v_5,8,absent,0.8045112781954887,,,
alexnet,transfer,classify,0.001,3,2_v_5,1,both,0.9323308270676691,,,
alexnet,transfer,classify,0.001,3,2_v_5,2,both,0.8270676691729323,,,
alexnet,transfer,classify,0.001,3,2_v_5,4,both,0.7274436090225563,,,
alexnet,transfer,classify,0.001,3,2_v_5,8,both,0.6109022556390977,,,
alexnet,transfer,classify,0.001,4,RVvGV,1,present,1.0,,,
alexnet,transfer,classify,0.001,4,RVvGV,2,present,1.0,,,
alexnet,transfer,classify,0.001,4,RVvGV,4,present,1.0,,,
alexnet,transfer,classify,0.001,4,RVvGV,8,present,1.0,,,
alexnet,transfer,classify,0.001,4,RVvGV,1,absent,1.0,,,
alexnet,transfer,classify,0.001,4,RVvGV,2,absent,1.0,,,
alexnet,transfer,classify,0.001,4,RVvGV,4,absent,1.0,,,
alexnet,transfer,classify,0.001,4,RVvGV,8,absent,1.0,,,
alexnet,transfer,classify,0.001,4,RVvGV,1,both,1.0,,,
alexnet,transfer,classify,0.001,4,RVvGV,2,both,1.0,,,
alexnet,transfer,classify,0.001,4,RVvGV,4,both,1.0,,,
alexnet,transfer,classify,0.001,4,RVvGV,8,both,1.0,,,
alexnet,transfer,classify,0.001,4,RVvRHGV,1,present,1.0,,,
alexnet,transfer,classify,0.001,4,RVvRHGV,2,present,1.0,,,
alexnet,transfer,classify,0.001,4,RVvRHGV,4,present,1.0,,,
alexnet,transfer,classify,0.001,4,RVvRHGV,8,present,1.0,,,
alexnet,transfer,classify,0.001,4,RVvRHGV,1,absent,1.0,,,
alexnet,transfer,classify,0.001,4,RVvRHGV,2,absent,1.0,,,
alexnet,transfer,classify,0.001,4,RVvRHGV,4,absent,1.0,,,
alexnet,transfer,classify,0.001,4,RVvRHGV,8,absent,1.0,,,
alexnet,transfer,classify,0.001,4,RVvRHGV,1,both,1.0,,,
alexnet,transfer,classify,0.001,4,RVvRHGV,2,both,1.0,,,
alexnet,transfer,classify,0.001,4,RVvRHGV,4,both,1.0,,,
alexnet,transfer,classify,0.001,4,RVvRHGV,8,both,1.0,,,
alexnet,transfer,classify,0.001,4,2_v_5,1,present,0.9285714285714286,,,
alexnet,transfer,classify,0.001,4,2_v_5,2,present,0.7481203007518797,,,
alexnet,transfer,classify,0.001,4,2_v_5,4,present,0.7105263157894737,,,
alexnet,transfer,classify,0.001,4,2_v_5,8,present,0.518796992481203,,,
alexnet,transfer,classify,0.001,4,2_v_5,1,absent,0.9548872180451128,,,
alexnet,transfer,classify,0.001,4,2_v_5,2,absent,0.9135338345864662,,,
alexnet,transfer,classify,0.001,4,2_v_5,4,absent,0.7894736842105263,,,
alexnet,transfer,classify,0.001,4,2_v_5,8,absent,0.7481203007518797,,,
alexnet,transfer,classify,0.001,4,2_v_5,1,both,0.9417293233082706,,,
alexnet,transfer,classify,0.001,4,2_v_5,2,both,0.8308270676691729,,,
alexnet,transfer,classify,0.001,4,2_v_5,4,both,0.75,,,
alexnet,transfer,classify,0.001,4,2_v_5,8,both,0.6334586466165414,,,
alexnet,transfer,classify,0.001,5,RVvGV,1,present,1.0,,,
