net_name,stimulus,set_size_1_acc,set_size_8_acc,acc_diff
VGG16,2_v_5,0.48984374999999997,0.49453125000000003,-0.004687500000000067
VGG16,Bx_v_RxBo,0.4921875,0.48671875000000003,0.005468749999999967
VGG16,Bx_v_RxRo,0.48281250000000003,0.4875,-0.004687499999999956
VGG16,PWVvCV,0.55078125,0.5046875000000001,0.04609374999999993
VGG16,PWVvPWHCV,0.5320312500000001,0.51171875,0.020312500000000067
VGG16,RVvGV,0.5609375,0.5421874999999999,0.018750000000000044
VGG16,RVvRHGV,0.52578125,0.5398437500000001,-0.014062500000000089
VGG16,TvT,0.5593750000000001,0.51171875,0.04765625000000007
VGG16,YT_v_BTBL,0.6625,0.5984375000000001,0.06406249999999991
VGG16,YT_v_BTYL,0.63125,0.51171875,0.11953124999999998
alexnet,2_v_5,0.46796875,0.49921875,-0.03125
alexnet,Bx_v_RxBo,0.46249999999999997,0.5007812500000001,-0.0382812500000001
alexnet,Bx_v_RxRo,0.4796875,0.5046875000000001,-0.025000000000000078
alexnet,PWVvCV,0.53515625,0.509375,0.025781249999999978
alexnet,PWVvPWHCV,0.51171875,0.5031249999999999,0.008593750000000067
alexnet,RVvGV,0.546875,0.4953125,0.05156250000000001
alexnet,RVvRHGV,0.5320312500000001,0.49843750000000003,0.03359375000000003
alexnet,TvT,0.49609375,0.5,-0.00390625
alexnet,YT_v_BTBL,0.5921875,0.5164062500000001,0.07578124999999991
alexnet,YT_v_BTYL,0.5875,0.50234375,0.08515625000000004
