stimulus,acc_diff,set_size_1_acc
YT_v_BTBL,0.06992187499999991,0.62734375
YT_v_BTYL,0.10234375000000001,0.609375
RVvGV,0.03515625000000003,0.55390625
PWVvCV,0.035937499999999956,0.54296875
RVvRHGV,0.009765624999999972,0.52890625
TvT,0.021875000000000033,0.5277343750000001
PWVvPWHCV,0.014453125000000067,0.5218750000000001
Bx_v_RxRo,-0.014843750000000017,0.48125
2_v_5,-0.017968750000000033,0.47890625
Bx_v_RxBo,-0.016406250000000067,0.47734374999999996
