net_name,Bx_v_RxBo,Bx_v_RxRo,PWVvCV,PWVvPWHCV,RVvGV,RVvRHGV,TvT,YT_v_BTBL,YT_v_BTYL,2_v_5
alexnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2953125000000001
VGG16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
