net_name,net_number,stimulus,set_size_1_acc,set_size_8_acc,acc_diff
alexnet,1,RVvGV,0.518796992481203,0.5695488721804511,-0.050751879699248104
alexnet,1,RVvRHGV,0.5319548872180451,0.518796992481203,0.013157894736842035
alexnet,1,2_v_5,0.5357142857142857,0.4943609022556391,0.041353383458646586
alexnet,2,RVvGV,0.5338345864661654,0.5,0.03383458646616544
alexnet,2,RVvRHGV,0.5131578947368421,0.5169172932330827,-0.003759398496240518
alexnet,2,2_v_5,0.4830827067669173,0.4924812030075188,-0.009398496240601517
alexnet,3,RVvGV,0.5206766917293233,0.556390977443609,-0.0357142857142857
alexnet,3,RVvRHGV,0.5281954887218046,0.518796992481203,0.009398496240601517
alexnet,3,2_v_5,0.48872180451127817,0.4943609022556391,-0.005639097744360944
alexnet,4,RVvGV,0.5263157894736842,0.5469924812030075,-0.020676691729323293
alexnet,4,RVvRHGV,0.5244360902255639,0.5319548872180451,-0.007518796992481147
alexnet,4,2_v_5,0.4793233082706767,0.4868421052631579,-0.007518796992481203
alexnet,5,RVvGV,0.5281954887218046,0.5150375939849624,0.013157894736842146
alexnet,5,RVvRHGV,0.5582706766917294,0.49624060150375937,0.06203007518796999
alexnet,5,2_v_5,0.5263157894736842,0.5112781954887218,0.015037593984962405
alexnet,6,RVvGV,0.5244360902255639,0.5131578947368421,0.011278195488721776
alexnet,6,RVvRHGV,0.5075187969924813,0.5169172932330827,-0.009398496240601406
alexnet,6,2_v_5,0.5244360902255639,0.4924812030075188,0.031954887218045125
alexnet,7,RVvGV,0.5263157894736842,0.5300751879699248,-0.003759398496240629
alexnet,7,RVvRHGV,0.5281954887218046,0.5244360902255639,0.003759398496240629
alexnet,7,2_v_5,0.5451127819548872,0.48872180451127817,0.05639097744360905
alexnet,8,RVvGV,0.48872180451127817,0.5056390977443609,-0.01691729323308272
alexnet,8,RVvRHGV,0.5018796992481203,0.5075187969924813,-0.005639097744360999
alexnet,8,2_v_5,0.5018796992481203,0.4774436090225564,0.024436090225563867
VGG16,1,RVvGV,1.0,0.849624060150376,0.15037593984962405
VGG16,1,RVvRHGV,1.0,0.7819548872180451,0.21804511278195493
VGG16,1,2_v_5,0.9962406015037594,0.6447368421052632,0.3515037593984962
VGG16,2,RVvGV,0.7857142857142857,0.5037593984962406,0.28195488721804507
VGG16,2,RVvRHGV,0.6992481203007519,0.5244360902255639,0.17481203007518797
VGG16,2,2_v_5,0.5488721804511278,0.5037593984962406,0.045112781954887216
VGG16,3,RVvGV,1.0,0.8421052631578947,0.1578947368421053
VGG16,3,RVvRHGV,1.0,0.7875939849624061,0.21240601503759393
VGG16,3,2_v_5,1.0,0.6447368421052632,0.35526315789473684
VGG16,4,RVvGV,0.6616541353383458,0.5056390977443609,0.15601503759398494
VGG16,4,RVvRHGV,0.618421052631579,0.543233082706767,0.07518796992481203
VGG16,4,2_v_5,0.5451127819548872,0.4924812030075188,0.05263157894736842
VGG16,5,RVvGV,0.6879699248120301,0.5093984962406015,0.1785714285714286
VGG16,5,RVvRHGV,0.6522556390977443,0.5357142857142857,0.11654135338345861
VGG16,5,2_v_5,0.5169172932330827,0.4755639097744361,0.041353383458646586
VGG16,6,RVvGV,0.6766917293233082,0.5075187969924813,0.16917293233082698
VGG16,6,RVvRHGV,0.6390977443609023,0.5300751879699248,0.10902255639097747
VGG16,6,2_v_5,0.5357142857142857,0.4868421052631579,0.04887218045112779
VGG16,7,RVvGV,0.7725563909774437,0.5037593984962406,0.26879699248120303
VGG16,7,RVvRHGV,0.6992481203007519,0.5281954887218046,0.17105263157894735
VGG16,7,2_v_5,0.5488721804511278,0.48872180451127817,0.060150375939849676
VGG16,8,RVvGV,1.0,0.8590225563909775,0.14097744360902253
VGG16,8,RVvRHGV,1.0,0.7913533834586466,0.2086466165413534
VGG16,8,2_v_5,0.9981203007518797,0.6296992481203008,0.368421052631579
CORnet_Z,1,RVvGV,0.9285714285714286,0.5,0.4285714285714286
CORnet_Z,1,RVvRHGV,0.7236842105263158,0.5,0.22368421052631582
CORnet_Z,1,2_v_5,0.9360902255639098,0.6484962406015038,0.28759398496240596
CORnet_Z,2,RVvGV,0.8195488721804511,0.5,0.31954887218045114
CORnet_Z,2,RVvRHGV,0.6691729323308271,0.5,0.16917293233082709
CORnet_Z,2,2_v_5,0.8909774436090225,0.5827067669172933,0.30827067669172925
CORnet_Z,3,RVvGV,0.9210526315789473,0.5,0.42105263157894735
CORnet_Z,3,RVvRHGV,0.7011278195488722,0.5,0.20112781954887216
CORnet_Z,3,2_v_5,0.8571428571428571,0.5451127819548872,0.3120300751879699
CORnet_Z,4,RVvGV,0.6898496240601504,0.5,0.18984962406015038
CORnet_Z,4,RVvRHGV,0.599624060150376,0.5,0.09962406015037595
CORnet_Z,4,2_v_5,0.8402255639097744,0.6278195488721805,0.21240601503759393
CORnet_Z,5,RVvGV,0.5131578947368421,0.5,0.013157894736842146
CORnet_Z,5,RVvRHGV,0.5093984962406015,0.5,0.009398496240601517
CORnet_Z,5,2_v_5,0.7650375939849624,0.6278195488721805,0.1372180451127819
CORnet_Z,6,RVvGV,0.806390977443609,0.5,0.306390977443609
CORnet_Z,6,RVvRHGV,0.6898496240601504,0.5,0.18984962406015038
CORnet_Z,6,2_v_5,0.9097744360902256,0.5939849624060151,0.3157894736842105
CORnet_Z,7,RVvGV,0.7706766917293233,0.5,0.2706766917293233
CORnet_Z,7,RVvRHGV,0.6447368421052632,0.5,0.14473684210526316
CORnet_Z,7,2_v_5,0.7725563909774437,0.6409774436090225,0.13157894736842113
CORnet_Z,8,RVvGV,0.7387218045112782,0.5,0.23872180451127822
CORnet_Z,8,RVvRHGV,0.6146616541353384,0.5,0.11466165413533835
CORnet_Z,8,2_v_5,0.8646616541353384,0.5808270676691729,0.28383458646616544
CORnet_S,1,RVvGV,0.9924812030075187,0.7387218045112782,0.2537593984962405
CORnet_S,1,RVvRHGV,0.8834586466165414,0.6033834586466166,0.2800751879699248
CORnet_S,1,2_v_5,0.5639097744360902,0.5300751879699248,0.03383458646616544
CORnet_S,2,RVvGV,0.9755639097744361,0.650375939849624,0.325187969924812
CORnet_S,2,RVvRHGV,0.8421052631578947,0.5827067669172933,0.2593984962406014
CORnet_S,2,2_v_5,0.5244360902255639,0.5281954887218046,-0.003759398496240629
CORnet_S,3,RVvGV,0.9906015037593985,0.6898496240601504,0.3007518796992481
CORnet_S,3,RVvRHGV,0.8872180451127819,0.6033834586466166,0.28383458646616533
CORnet_S,3,2_v_5,0.5526315789473685,0.5469924812030075,0.005639097744360999
