net_name,stimulus,set_size_1_acc,set_size_8_acc,acc_diff
CORnet_S,2_v_5,0.7915883458646616,0.5817669172932332,0.2098214285714285
CORnet_S,RVvGV,1.0,0.8663063909774437,0.13369360902255634
CORnet_S,RVvRHGV,0.9906015037593985,0.731907894736842,0.25869360902255645
CORnet_Z,2_v_5,0.9891917293233085,0.7363721804511276,0.25281954887218083
CORnet_Z,RVvGV,1.0,0.9734492481203009,0.02655075187969913
CORnet_Z,RVvRHGV,1.0,0.9447838345864662,0.0552161654135338
VGG16,2_v_5,1.0,0.7159304511278197,0.2840695488721803
VGG16,RVvGV,1.0,0.8576127819548868,0.14238721804511323
VGG16,RVvRHGV,1.0,0.8576127819548872,0.14238721804511278
alexnet,2_v_5,0.8524436090225561,0.5563909774436091,0.296052631578947
alexnet,RVvGV,1.0,0.9870770676691727,0.012922932330827308
alexnet,RVvRHGV,1.0,0.8580827067669173,0.14191729323308266
