net_name,net_number,stimulus,set_size_1_acc,set_size_8_acc,acc_diff
alexnet,1,RVvGV,1.0,0.9943609022556391,0.005639097744360888
alexnet,1,RVvRHGV,1.0,0.8721804511278195,0.1278195488721805
alexnet,1,2_v_5,0.8703007518796992,0.5601503759398496,0.3101503759398496
alexnet,2,RVvGV,1.0,0.9774436090225563,0.022556390977443663
alexnet,2,RVvRHGV,1.0,0.8571428571428571,0.1428571428571429
alexnet,2,2_v_5,0.8327067669172933,0.5657894736842105,0.2669172932330828
alexnet,3,RVvGV,1.0,0.9830827067669173,0.016917293233082664
alexnet,3,RVvRHGV,1.0,0.868421052631579,0.13157894736842102
alexnet,3,2_v_5,0.8214285714285714,0.5676691729323309,0.2537593984962405
alexnet,4,RVvGV,1.0,0.9943609022556391,0.005639097744360888
alexnet,4,RVvRHGV,1.0,0.8515037593984962,0.1484962406015038
alexnet,4,2_v_5,0.8515037593984962,0.5300751879699248,0.3214285714285714
alexnet,5,RVvGV,1.0,0.9868421052631579,0.013157894736842146
alexnet,5,RVvRHGV,1.0,0.8665413533834586,0.1334586466165414
alexnet,5,2_v_5,0.9135338345864662,0.5451127819548872,0.368421052631579
alexnet,6,RVvGV,1.0,0.9906015037593985,0.009398496240601517
alexnet,6,RVvRHGV,1.0,0.8552631578947368,0.14473684210526316
alexnet,6,2_v_5,0.8533834586466166,0.5169172932330827,0.3364661654135339
alexnet,7,RVvGV,1.0,0.9849624060150376,0.015037593984962405
alexnet,7,RVvRHGV,1.0,0.881578947368421,0.11842105263157898
alexnet,7,2_v_5,0.8721804511278195,0.5921052631578947,0.2800751879699248
alexnet,8,RVvGV,1.0,0.9849624060150376,0.015037593984962405
alexnet,8,RVvRHGV,1.0,0.8120300751879699,0.18796992481203012
alexnet,8,2_v_5,0.8045112781954887,0.5733082706766918,0.23120300751879697
VGG16,1,RVvGV,1.0,0.8665413533834586,0.1334586466165414
VGG16,1,RVvRHGV,1.0,0.868421052631579,0.13157894736842102
VGG16,1,2_v_5,1.0,0.7161654135338346,0.28383458646616544
VGG16,2,RVvGV,1.0,0.868421052631579,0.13157894736842102
VGG16,2,RVvRHGV,1.0,0.8778195488721805,0.1221804511278195
VGG16,2,2_v_5,1.0,0.7462406015037594,0.25375939849624063
VGG16,3,RVvGV,1.0,0.8703007518796992,0.12969924812030076
VGG16,3,RVvRHGV,1.0,0.8364661654135338,0.1635338345864662
VGG16,3,2_v_5,1.0,0.7086466165413534,0.2913533834586466
VGG16,4,RVvGV,1.0,0.8515037593984962,0.1484962406015038
VGG16,4,RVvRHGV,1.0,0.8458646616541353,0.15413533834586468
VGG16,4,2_v_5,1.0,0.7105263157894737,0.2894736842105263
VGG16,5,RVvGV,1.0,0.8552631578947368,0.14473684210526316
VGG16,5,RVvRHGV,1.0,0.8627819548872181,0.1372180451127819
VGG16,5,2_v_5,1.0,0.7387218045112782,0.2612781954887218
VGG16,6,RVvGV,1.0,0.8627819548872181,0.1372180451127819
VGG16,6,RVvRHGV,1.0,0.8646616541353384,0.13533834586466165
VGG16,6,2_v_5,1.0,0.7199248120300752,0.2800751879699248
VGG16,7,RVvGV,1.0,0.825187969924812,0.17481203007518797
VGG16,7,RVvRHGV,1.0,0.8439849624060151,0.15601503759398494
VGG16,7,2_v_5,1.0,0.6785714285714286,0.3214285714285714
VGG16,8,RVvGV,1.0,0.8609022556390977,0.13909774436090228
VGG16,8,RVvRHGV,1.0,0.8609022556390977,0.13909774436090228
VGG16,8,2_v_5,1.0,0.7086466165413534,0.2913533834586466
CORnet_Z,1,RVvGV,1.0,0.9699248120300752,0.03007518796992481
CORnet_Z,1,RVvRHGV,1.0,0.9511278195488722,0.048872180451127845
CORnet_Z,1,2_v_5,0.9943609022556391,0.7387218045112782,0.2556390977443609
CORnet_Z,2,RVvGV,1.0,0.9774436090225563,0.022556390977443663
CORnet_Z,2,RVvRHGV,1.0,0.943609022556391,0.05639097744360899
CORnet_Z,2,2_v_5,0.9962406015037594,0.7462406015037594,0.25
CORnet_Z,3,RVvGV,1.0,0.9605263157894737,0.03947368421052633
CORnet_Z,3,RVvRHGV,1.0,0.9398496240601504,0.06015037593984962
CORnet_Z,3,2_v_5,0.9680451127819549,0.7199248120300752,0.24812030075187974
CORnet_Z,4,RVvGV,1.0,0.9736842105263158,0.02631578947368418
CORnet_Z,4,RVvRHGV,1.0,0.9454887218045113,0.05451127819548873
CORnet_Z,4,2_v_5,0.9830827067669173,0.7142857142857143,0.26879699248120303
CORnet_Z,5,RVvGV,1.0,0.9774436090225563,0.022556390977443663
CORnet_Z,5,RVvRHGV,1.0,0.9454887218045113,0.05451127819548873
CORnet_Z,5,2_v_5,0.9924812030075187,0.7518796992481203,0.24060150375939848
CORnet_Z,6,RVvGV,1.0,0.9774436090225563,0.022556390977443663
CORnet_Z,6,RVvRHGV,1.0,0.9323308270676691,0.06766917293233088
CORnet_Z,6,2_v_5,0.9906015037593985,0.7293233082706767,0.2612781954887218
CORnet_Z,7,RVvGV,1.0,0.9774436090225563,0.022556390977443663
CORnet_Z,7,RVvRHGV,1.0,0.9511278195488722,0.048872180451127845
CORnet_Z,7,2_v_5,0.9924812030075187,0.7349624060150376,0.25751879699248115
CORnet_Z,8,RVvGV,1.0,0.9736842105263158,0.02631578947368418
CORnet_Z,8,RVvRHGV,1.0,0.9492481203007519,0.050751879699248104
CORnet_Z,8,2_v_5,0.9962406015037594,0.7556390977443609,0.24060150375939848
CORnet_S,1,RVvGV,1.0,0.8515037593984962,0.1484962406015038
CORnet_S,1,RVvRHGV,0.9868421052631579,0.731203007518797,0.2556390977443609
CORnet_S,1,2_v_5,0.7669172932330827,0.5827067669172933,0.18421052631578938
CORnet_S,2,RVvGV,1.0,0.8740601503759399,0.12593984962406013
CORnet_S,2,RVvRHGV,0.9906015037593985,0.7274436090225563,0.26315789473684215
CORnet_S,2,2_v_5,0.8214285714285714,0.5770676691729323,0.2443609022556391
CORnet_S,3,RVvGV,1.0,0.8721804511278195,0.1278195488721805
CORnet_S,3,RVvRHGV,0.9962406015037594,0.7575187969924813,0.2387218045112781
CORnet_S,3,2_v_5,0.7838345864661654,0.5864661654135338,0.19736842105263164
CORnet_S,4,RVvGV,1.0,0.8609022556390977,0.13909774436090228
CORnet_S,4,RVvRHGV,0.9924812030075187,0.7406015037593985,0.25187969924812026
CORnet_S,4,2_v_5,0.7894736842105263,0.5939849624060151,0.19548872180451127
CORnet_S,5,RVvGV,1.0,0.8627819548872181,0.1372180451127819
CORnet_S,5,RVvRHGV,0.9906015037593985,0.7387218045112782,0.25187969924812026
CORnet_S,5,2_v_5,0.793233082706767,0.5977443609022557,0.19548872180451127
CORnet_S,6,RVvGV,1.0,0.8778195488721805,0.1221804511278195
CORnet_S,6,RVvRHGV,0.9924812030075187,0.7406015037593985,0.25187969924812026
CORnet_S,6,2_v_5,0.8007518796992481,0.5733082706766918,0.22744360902255634
CORnet_S,7,RVvGV,1.0,0.8571428571428571,0.1428571428571429
CORnet_S,7,RVvRHGV,0.9849624060150376,0.7124060150375939,0.27255639097744366
CORnet_S,7,2_v_5,0.7763157894736842,0.5695488721804511,0.20676691729323304
