net_name,RVvGV,RVvRHGV,2_v_5
CORnet_S,0.13369360902255634,0.25869360902255645,0.2098214285714285
VGG16,0.14238721804511323,0.14238721804511278,0.2840695488721803
alexnet,0.012922932330827308,0.14191729323308266,0.296052631578947
CORnet_Z,0.02655075187969913,0.0552161654135338,0.25281954887218083
