,net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime,source_dataset,method_source_dataset,greenness,discrim_pct
2432,alexnet,transfer,classify,0.001,1,RVvGV_232,1,both,256,512,0.5,,,,search stimuli (classify),0,232,0.09019607843137256
2433,alexnet,transfer,classify,0.001,1,RVvGV_232,2,both,256,512,0.5,,,,search stimuli (classify),0,232,0.09019607843137256
2434,alexnet,transfer,classify,0.001,1,RVvGV_232,4,both,256,512,0.5,,,,search stimuli (classify),0,232,0.09019607843137256
2435,alexnet,transfer,classify,0.001,1,RVvGV_232,8,both,256,512,0.5,,,,search stimuli (classify),0,232,0.09019607843137256
2444,alexnet,transfer,classify,0.001,1,RVvGV_255,1,both,256,512,0.5,,,,search stimuli (classify),0,255,0.0
2445,alexnet,transfer,classify,0.001,1,RVvGV_255,2,both,256,512,0.5,,,,search stimuli (classify),0,255,0.0
2446,alexnet,transfer,classify,0.001,1,RVvGV_255,4,both,256,512,0.5,,,,search stimuli (classify),0,255,0.0
2447,alexnet,transfer,classify,0.001,1,RVvGV_255,8,both,256,512,0.5,,,,search stimuli (classify),0,255,0.0
2600,alexnet,transfer,classify,0.001,2,RVvGV_0,1,both,512,512,1.0,,,,search stimuli (classify),0,0,1.0
2601,alexnet,transfer,classify,0.001,2,RVvGV_0,2,both,512,512,1.0,,,,search stimuli (classify),0,0,1.0
2602,alexnet,transfer,classify,0.001,2,RVvGV_0,4,both,512,512,1.0,,,,search stimuli (classify),0,0,1.0
2603,alexnet,transfer,classify,0.001,2,RVvGV_0,8,both,512,512,1.0,,,,search stimuli (classify),0,0,1.0
2612,alexnet,transfer,classify,0.001,2,RVvGV_23,1,both,512,512,1.0,,,,search stimuli (classify),0,23,0.9098039215686274
2613,alexnet,transfer,classify,0.001,2,RVvGV_23,2,both,512,512,1.0,,,,search stimuli (classify),0,23,0.9098039215686274
2614,alexnet,transfer,classify,0.001,2,RVvGV_23,4,both,512,512,1.0,,,,search stimuli (classify),0,23,0.9098039215686274
2615,alexnet,transfer,classify,0.001,2,RVvGV_23,8,both,512,512,1.0,,,,search stimuli (classify),0,23,0.9098039215686274
2624,alexnet,transfer,classify,0.001,2,RVvGV_46,1,both,512,512,1.0,,,,search stimuli (classify),0,46,0.8196078431372549
2625,alexnet,transfer,classify,0.001,2,RVvGV_46,2,both,512,512,1.0,,,,search stimuli (classify),0,46,0.8196078431372549
2626,alexnet,transfer,classify,0.001,2,RVvGV_46,4,both,512,512,1.0,,,,search stimuli (classify),0,46,0.8196078431372549
2627,alexnet,transfer,classify,0.001,2,RVvGV_46,8,both,512,512,1.0,,,,search stimuli (classify),0,46,0.8196078431372549
2636,alexnet,transfer,classify,0.001,2,RVvGV_70,1,both,512,512,1.0,,,,search stimuli (classify),0,70,0.7254901960784313
2637,alexnet,transfer,classify,0.001,2,RVvGV_70,2,both,512,512,1.0,,,,search stimuli (classify),0,70,0.7254901960784313
2638,alexnet,transfer,classify,0.001,2,RVvGV_70,4,both,512,512,1.0,,,,search stimuli (classify),0,70,0.7254901960784313
2639,alexnet,transfer,classify,0.001,2,RVvGV_70,8,both,512,512,1.0,,,,search stimuli (classify),0,70,0.7254901960784313
2648,alexnet,transfer,classify,0.001,2,RVvGV_93,1,both,483,512,0.943359375,,,,search stimuli (classify),0,93,0.6352941176470588
2649,alexnet,transfer,classify,0.001,2,RVvGV_93,2,both,512,512,1.0,,,,search stimuli (classify),0,93,0.6352941176470588
2650,alexnet,transfer,classify,0.001,2,RVvGV_93,4,both,512,512,1.0,,,,search stimuli (classify),0,93,0.6352941176470588
2651,alexnet,transfer,classify,0.001,2,RVvGV_93,8,both,512,512,1.0,,,,search stimuli (classify),0,93,0.6352941176470588
2660,alexnet,transfer,classify,0.001,2,RVvGV_116,1,both,367,512,0.716796875,,,,search stimuli (classify),0,116,0.5450980392156863
2661,alexnet,transfer,classify,0.001,2,RVvGV_116,2,both,508,512,0.9921875,,,,search stimuli (classify),0,116,0.5450980392156863
