,net_name,method,source_dataset,net_number,set_size,alpha,alpha_cov,beta,beta_cov,threshold_acc,discrim_threshold,log_set_size,log_discrim_threshold
0,alexnet,transfer,search stimuli (classify),1,1,0.26577631488680115,5.379231198906286e-07,0.025512181083571124,1.0849063655376642e-06,0.75,0.26626626626626626,0.0,-0.5746838515949153
1,alexnet,transfer,search stimuli (classify),1,2,0.3141448465045696,4.797141452787585e-07,0.032886408288279524,2.6331008482419687e-07,0.75,0.31431431431431434,0.3010299956639812,-0.5026358401527673
2,alexnet,transfer,search stimuli (classify),1,4,0.3893397868849349,2.3807675746548643e-05,0.054279601105972554,1.869469236645698e-05,0.75,0.3893893893893894,0.6020599913279624,-0.40961588690027456
3,alexnet,transfer,search stimuli (classify),1,8,0.43699162508518763,2.2660030423352626e-05,0.06271918801386538,1.7734414097280473e-05,0.75,0.43743743743743746,0.9030899869919435,-0.3590840512555604
4,alexnet,transfer,search stimuli (classify),2,1,0.2723468749469151,3.902343054195871e-08,0.02286666876831987,2.039848576144411e-07,0.75,0.27227227227227224,0.0,-0.5649965841917837
5,alexnet,transfer,search stimuli (classify),2,2,0.3185136061159487,7.60836760553761e-07,0.0348304615737825,4.3100660515064276e-07,0.75,0.3183183183183183,0.3010299956639812,-0.49713836824154967
6,alexnet,transfer,search stimuli (classify),2,4,0.3840784335168448,2.492221376511431e-05,0.0523435791059833,1.9803152094319798e-05,0.75,0.3843843843843844,0.6020599913279624,-0.4152342638584515
7,alexnet,transfer,search stimuli (classify),2,8,0.4283197283429675,2.1184489124794625e-05,0.06240525670628616,1.65383305742519e-05,0.75,0.42842842842842843,0.9030899869919435,-0.3681217192128103
8,alexnet,transfer,search stimuli (classify),3,1,0.2682352679338366,1.6014186313755266e-07,0.023864097513159155,4.649061576123301e-07,0.75,0.2682682682682683,0.0,-0.5714306941971935
9,alexnet,transfer,search stimuli (classify),3,2,0.3101411335777011,3.9686080805380807e-07,0.03274012305262125,2.346701984157371e-07,0.75,0.3103103103103103,0.3010299956639812,-0.5082037943917096
10,alexnet,transfer,search stimuli (classify),3,4,0.40654241293084714,2.731180234282336e-05,0.058209028701408844,2.1163669208697128e-05,0.75,0.4064064064064064,0.6020599913279624,-0.3910394546487882
11,alexnet,transfer,search stimuli (classify),3,8,0.41549578012621236,2.197138787634607e-05,0.06012376885658991,1.706315135497213e-05,0.75,0.41541541541541543,0.9030899869919435,-0.3815173915138896
12,alexnet,transfer,search stimuli (classify),4,1,0.2553223761345339,4.873028511365032e-07,0.02581680575999129,4.080808295352303e-07,0.75,0.2552552552552553,0.0,-0.5930253077920271
13,alexnet,transfer,search stimuli (classify),4,2,0.30207383546100264,2.1566665622676074e-07,0.03135416682511005,1.5924992687907676e-07,0.75,0.3023023023023023,0.3010299956639812,-0.5195585452688316
14,alexnet,transfer,search stimuli (classify),4,4,0.3758754124540366,2.530160569597518e-05,0.05048361776592354,2.061811890500531e-05,0.75,0.37537537537537535,0.6020599913279624,-0.4255342204982635
15,alexnet,transfer,search stimuli (classify),4,8,0.385933435464957,7.563547301774327e-06,0.05188118989525671,5.983165343822061e-06,0.75,0.3863863863863864,0.9030899869919435,-0.41297818355422733
16,alexnet,transfer,search stimuli (classify),5,1,0.2671633867256899,2.659145186995417e-07,0.026318265312288494,5.693358367151106e-07,0.75,0.26726726726726724,0.0,-0.5730542268614072
17,alexnet,transfer,search stimuli (classify),5,2,0.31062955487241706,4.43673719637222e-07,0.03206440273470507,2.529876917101248e-07,0.75,0.3103103103103103,0.3010299956639812,-0.5082037943917096
18,alexnet,transfer,search stimuli (classify),5,4,0.3759423233568465,2.5073196806363333e-05,0.04999207473848206,2.0476866816714766e-05,0.75,0.3763763763763764,0.6020599913279624,-0.4243776432983213
19,alexnet,transfer,search stimuli (classify),5,8,0.44054625972551903,2.5496991998448298e-05,0.06155000181836223,1.9975152190616657e-05,0.75,0.44044044044044045,0.9030899869919435,-0.35611281173979487
20,alexnet,transfer,search stimuli (classify),6,1,0.27601659875189166,1.0657477760523487e-07,0.021647134993216924,1.0296414227174403e-06,0.75,0.27627627627627627,0.0,-0.5586564061607646
21,alexnet,transfer,search stimuli (classify),6,2,0.32697458589694006,1.4700890397645104e-06,0.03502094006600649,8.403560572205592e-07,0.75,0.32732732732732733,0.3010299956639812,-0.4850177355656962
22,alexnet,transfer,search stimuli (classify),6,4,0.43260781207552385,3.671232607660277e-05,0.0673638905776324,2.8756983986838354e-05,0.75,0.43243243243243246,0.6020599913279624,-0.3640817414110702
23,alexnet,transfer,search stimuli (classify),6,8,0.5167162891049633,1.4887341002886535e-05,0.0708934581653769,1.1624333219004838e-05,0.75,0.5165165165165165,0.9030899869919435,-0.2869157865987709
24,alexnet,transfer,search stimuli (classify),7,1,0.2722808960015258,1.5124084084497458e-07,0.0229475672405669,7.748483730741965e-07,0.75,0.27227227227227224,0.0,-0.5649965841917837
25,alexnet,transfer,search stimuli (classify),7,2,0.32205143078699244,6.155572300264674e-07,0.033541568179188026,3.252530054919846e-07,0.75,0.32232232232232233,0.3010299956639812,-0.4917096165301514
26,alexnet,transfer,search stimuli (classify),7,4,0.42131532215521883,3.435747802291759e-05,0.0636520897744123,2.682464766121429e-05,0.75,0.4214214214214214,0.6020599913279624,-0.375283392390314
27,alexnet,transfer,search stimuli (classify),7,8,0.4672989651991385,2.2870197736804205e-05,0.06782279304736127,1.7882565693276157e-05,0.75,0.4674674674674675,0.9030899869919435,-0.33024860765987013
