,net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime,source_dataset,method_source_dataset,rotation,discrim_pct
440,alexnet,initialize,classify,0.001,2,TvT_4,1,both,256,512,0.5,,,,None,0,4,0.044444444444444446
441,alexnet,initialize,classify,0.001,2,TvT_4,2,both,256,512,0.5,,,,None,0,4,0.044444444444444446
442,alexnet,initialize,classify,0.001,2,TvT_4,4,both,256,512,0.5,,,,None,0,4,0.044444444444444446
443,alexnet,initialize,classify,0.001,2,TvT_4,8,both,256,512,0.5,,,,None,0,4,0.044444444444444446
452,alexnet,initialize,classify,0.001,2,TvT_8,1,both,256,512,0.5,,,,None,0,8,0.08888888888888889
453,alexnet,initialize,classify,0.001,2,TvT_8,2,both,256,512,0.5,,,,None,0,8,0.08888888888888889
454,alexnet,initialize,classify,0.001,2,TvT_8,4,both,256,512,0.5,,,,None,0,8,0.08888888888888889
455,alexnet,initialize,classify,0.001,2,TvT_8,8,both,256,512,0.5,,,,None,0,8,0.08888888888888889
464,alexnet,initialize,classify,0.001,2,TvT_16,1,both,256,512,0.5,,,,None,0,16,0.17777777777777778
465,alexnet,initialize,classify,0.001,2,TvT_16,2,both,256,512,0.5,,,,None,0,16,0.17777777777777778
466,alexnet,initialize,classify,0.001,2,TvT_16,4,both,256,512,0.5,,,,None,0,16,0.17777777777777778
467,alexnet,initialize,classify,0.001,2,TvT_16,8,both,256,512,0.5,,,,None,0,16,0.17777777777777778
476,alexnet,initialize,classify,0.001,2,TvT_25,1,both,270,512,0.52734375,,,,None,0,25,0.2777777777777778
477,alexnet,initialize,classify,0.001,2,TvT_25,2,both,274,512,0.53515625,,,,None,0,25,0.2777777777777778
478,alexnet,initialize,classify,0.001,2,TvT_25,4,both,263,512,0.513671875,,,,None,0,25,0.2777777777777778
479,alexnet,initialize,classify,0.001,2,TvT_25,8,both,258,512,0.50390625,,,,None,0,25,0.2777777777777778
488,alexnet,initialize,classify,0.001,2,TvT_33,1,both,363,512,0.708984375,,,,None,0,33,0.36666666666666664
489,alexnet,initialize,classify,0.001,2,TvT_33,2,both,362,512,0.70703125,,,,None,0,33,0.36666666666666664
490,alexnet,initialize,classify,0.001,2,TvT_33,4,both,336,512,0.65625,,,,None,0,33,0.36666666666666664
491,alexnet,initialize,classify,0.001,2,TvT_33,8,both,300,512,0.5859375,,,,None,0,33,0.36666666666666664
500,alexnet,initialize,classify,0.001,2,TvT_41,1,both,460,512,0.8984375,,,,None,0,41,0.45555555555555555
501,alexnet,initialize,classify,0.001,2,TvT_41,2,both,440,512,0.859375,,,,None,0,41,0.45555555555555555
502,alexnet,initialize,classify,0.001,2,TvT_41,4,both,423,512,0.826171875,,,,None,0,41,0.45555555555555555
503,alexnet,initialize,classify,0.001,2,TvT_41,8,both,337,512,0.658203125,,,,None,0,41,0.45555555555555555
512,alexnet,initialize,classify,0.001,2,TvT_49,1,both,509,512,0.994140625,,,,None,0,49,0.5444444444444444
513,alexnet,initialize,classify,0.001,2,TvT_49,2,both,497,512,0.970703125,,,,None,0,49,0.5444444444444444
514,alexnet,initialize,classify,0.001,2,TvT_49,4,both,476,512,0.9296875,,,,None,0,49,0.5444444444444444
515,alexnet,initialize,classify,0.001,2,TvT_49,8,both,429,512,0.837890625,,,,None,0,49,0.5444444444444444
524,alexnet,initialize,classify,0.001,2,TvT_57,1,both,512,512,1.0,,,,None,0,57,0.6333333333333333
525,alexnet,initialize,classify,0.001,2,TvT_57,2,both,512,512,1.0,,,,None,0,57,0.6333333333333333
526,alexnet,initialize,classify,0.001,2,TvT_57,4,both,512,512,1.0,,,,None,0,57,0.6333333333333333
527,alexnet,initialize,classify,0.001,2,TvT_57,8,both,508,512,0.9921875,,,,None,0,57,0.6333333333333333
536,alexnet,initialize,classify,0.001,2,TvT_65,1,both,512,512,1.0,,,,None,0,65,0.7222222222222222
537,alexnet,initialize,classify,0.001,2,TvT_65,2,both,512,512,1.0,,,,None,0,65,0.7222222222222222
538,alexnet,initialize,classify,0.001,2,TvT_65,4,both,512,512,1.0,,,,None,0,65,0.7222222222222222
539,alexnet,initialize,classify,0.001,2,TvT_65,8,both,511,512,0.998046875,,,,None,0,65,0.7222222222222222
548,alexnet,initialize,classify,0.001,2,TvT_74,1,both,512,512,1.0,,,,None,0,74,0.8222222222222222
549,alexnet,initialize,classify,0.001,2,TvT_74,2,both,512,512,1.0,,,,None,0,74,0.8222222222222222
550,alexnet,initialize,classify,0.001,2,TvT_74,4,both,512,512,1.0,,,,None,0,74,0.8222222222222222
551,alexnet,initialize,classify,0.001,2,TvT_74,8,both,512,512,1.0,,,,None,0,74,0.8222222222222222
560,alexnet,initialize,classify,0.001,2,TvT_82,1,both,512,512,1.0,,,,None,0,82,0.9111111111111111
561,alexnet,initialize,classify,0.001,2,TvT_82,2,both,512,512,1.0,,,,None,0,82,0.9111111111111111
562,alexnet,initialize,classify,0.001,2,TvT_82,4,both,512,512,1.0,,,,None,0,82,0.9111111111111111
563,alexnet,initialize,classify,0.001,2,TvT_82,8,both,512,512,1.0,,,,None,0,82,0.9111111111111111
572,alexnet,initialize,classify,0.001,2,TvT_90,1,both,512,512,1.0,,,,None,0,90,1.0
573,alexnet,initialize,classify,0.001,2,TvT_90,2,both,512,512,1.0,,,,None,0,90,1.0
574,alexnet,initialize,classify,0.001,2,TvT_90,4,both,512,512,1.0,,,,None,0,90,1.0
575,alexnet,initialize,classify,0.001,2,TvT_90,8,both,512,512,1.0,,,,None,0,90,1.0
728,alexnet,initialize,classify,0.001,3,TvT_4,1,both,261,512,0.509765625,,,,None,0,4,0.044444444444444446
729,alexnet,initialize,classify,0.001,3,TvT_4,2,both,268,512,0.5234375,,,,None,0,4,0.044444444444444446
730,alexnet,initialize,classify,0.001,3,TvT_4,4,both,265,512,0.517578125,,,,None,0,4,0.044444444444444446
731,alexnet,initialize,classify,0.001,3,TvT_4,8,both,255,512,0.498046875,,,,None,0,4,0.044444444444444446
