,net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime,source_dataset,method_source_dataset,rotation,discrim_pct
3380,alexnet,transfer,classify,0.001,4,TvT_41,1,both,512,512,1.0,,,,search stimuli (classify),1,41,0.45555555555555555
3381,alexnet,transfer,classify,0.001,4,TvT_41,2,both,508,512,0.9921875,,,,search stimuli (classify),1,41,0.45555555555555555
3382,alexnet,transfer,classify,0.001,4,TvT_41,4,both,463,512,0.904296875,,,,search stimuli (classify),1,41,0.45555555555555555
3383,alexnet,transfer,classify,0.001,4,TvT_41,8,both,454,512,0.88671875,,,,search stimuli (classify),1,41,0.45555555555555555
3392,alexnet,transfer,classify,0.001,4,TvT_49,1,both,512,512,1.0,,,,search stimuli (classify),1,49,0.5444444444444444
3393,alexnet,transfer,classify,0.001,4,TvT_49,2,both,512,512,1.0,,,,search stimuli (classify),1,49,0.5444444444444444
3394,alexnet,transfer,classify,0.001,4,TvT_49,4,both,488,512,0.953125,,,,search stimuli (classify),1,49,0.5444444444444444
3395,alexnet,transfer,classify,0.001,4,TvT_49,8,both,498,512,0.97265625,,,,search stimuli (classify),1,49,0.5444444444444444
3404,alexnet,transfer,classify,0.001,4,TvT_57,1,both,512,512,1.0,,,,search stimuli (classify),1,57,0.6333333333333333
3405,alexnet,transfer,classify,0.001,4,TvT_57,2,both,512,512,1.0,,,,search stimuli (classify),1,57,0.6333333333333333
3406,alexnet,transfer,classify,0.001,4,TvT_57,4,both,510,512,0.99609375,,,,search stimuli (classify),1,57,0.6333333333333333
3407,alexnet,transfer,classify,0.001,4,TvT_57,8,both,511,512,0.998046875,,,,search stimuli (classify),1,57,0.6333333333333333
3416,alexnet,transfer,classify,0.001,4,TvT_65,1,both,512,512,1.0,,,,search stimuli (classify),1,65,0.7222222222222222
3417,alexnet,transfer,classify,0.001,4,TvT_65,2,both,512,512,1.0,,,,search stimuli (classify),1,65,0.7222222222222222
3418,alexnet,transfer,classify,0.001,4,TvT_65,4,both,512,512,1.0,,,,search stimuli (classify),1,65,0.7222222222222222
3419,alexnet,transfer,classify,0.001,4,TvT_65,8,both,512,512,1.0,,,,search stimuli (classify),1,65,0.7222222222222222
3428,alexnet,transfer,classify,0.001,4,TvT_74,1,both,512,512,1.0,,,,search stimuli (classify),1,74,0.8222222222222222
3429,alexnet,transfer,classify,0.001,4,TvT_74,2,both,512,512,1.0,,,,search stimuli (classify),1,74,0.8222222222222222
3430,alexnet,transfer,classify,0.001,4,TvT_74,4,both,512,512,1.0,,,,search stimuli (classify),1,74,0.8222222222222222
3431,alexnet,transfer,classify,0.001,4,TvT_74,8,both,512,512,1.0,,,,search stimuli (classify),1,74,0.8222222222222222
3440,alexnet,transfer,classify,0.001,4,TvT_82,1,both,512,512,1.0,,,,search stimuli (classify),1,82,0.9111111111111111
3441,alexnet,transfer,classify,0.001,4,TvT_82,2,both,512,512,1.0,,,,search stimuli (classify),1,82,0.9111111111111111
3442,alexnet,transfer,classify,0.001,4,TvT_82,4,both,512,512,1.0,,,,search stimuli (classify),1,82,0.9111111111111111
3443,alexnet,transfer,classify,0.001,4,TvT_82,8,both,512,512,1.0,,,,search stimuli (classify),1,82,0.9111111111111111
3452,alexnet,transfer,classify,0.001,4,TvT_90,1,both,512,512,1.0,,,,search stimuli (classify),1,90,1.0
3453,alexnet,transfer,classify,0.001,4,TvT_90,2,both,512,512,1.0,,,,search stimuli (classify),1,90,1.0
3454,alexnet,transfer,classify,0.001,4,TvT_90,4,both,512,512,1.0,,,,search stimuli (classify),1,90,1.0
3455,alexnet,transfer,classify,0.001,4,TvT_90,8,both,512,512,1.0,,,,search stimuli (classify),1,90,1.0
3608,alexnet,transfer,classify,0.001,5,TvT_4,1,both,256,512,0.5,,,,search stimuli (classify),1,4,0.044444444444444446
3609,alexnet,transfer,classify,0.001,5,TvT_4,2,both,256,512,0.5,,,,search stimuli (classify),1,4,0.044444444444444446
3610,alexnet,transfer,classify,0.001,5,TvT_4,4,both,256,512,0.5,,,,search stimuli (classify),1,4,0.044444444444444446
3611,alexnet,transfer,classify,0.001,5,TvT_4,8,both,256,512,0.5,,,,search stimuli (classify),1,4,0.044444444444444446
3620,alexnet,transfer,classify,0.001,5,TvT_8,1,both,256,512,0.5,,,,search stimuli (classify),1,8,0.08888888888888889
3621,alexnet,transfer,classify,0.001,5,TvT_8,2,both,256,512,0.5,,,,search stimuli (classify),1,8,0.08888888888888889
3622,alexnet,transfer,classify,0.001,5,TvT_8,4,both,256,512,0.5,,,,search stimuli (classify),1,8,0.08888888888888889
3623,alexnet,transfer,classify,0.001,5,TvT_8,8,both,256,512,0.5,,,,search stimuli (classify),1,8,0.08888888888888889
3632,alexnet,transfer,classify,0.001,5,TvT_16,1,both,266,512,0.51953125,,,,search stimuli (classify),1,16,0.17777777777777778
3633,alexnet,transfer,classify,0.001,5,TvT_16,2,both,257,512,0.501953125,,,,search stimuli (classify),1,16,0.17777777777777778
3634,alexnet,transfer,classify,0.001,5,TvT_16,4,both,256,512,0.5,,,,search stimuli (classify),1,16,0.17777777777777778
3635,alexnet,transfer,classify,0.001,5,TvT_16,8,both,256,512,0.5,,,,search stimuli (classify),1,16,0.17777777777777778
3644,alexnet,transfer,classify,0.001,5,TvT_25,1,both,409,512,0.798828125,,,,search stimuli (classify),1,25,0.2777777777777778
3645,alexnet,transfer,classify,0.001,5,TvT_25,2,both,324,512,0.6328125,,,,search stimuli (classify),1,25,0.2777777777777778
3646,alexnet,transfer,classify,0.001,5,TvT_25,4,both,273,512,0.533203125,,,,search stimuli (classify),1,25,0.2777777777777778
3647,alexnet,transfer,classify,0.001,5,TvT_25,8,both,264,512,0.515625,,,,search stimuli (classify),1,25,0.2777777777777778
3656,alexnet,transfer,classify,0.001,5,TvT_33,1,both,509,512,0.994140625,,,,search stimuli (classify),1,33,0.36666666666666664
3657,alexnet,transfer,classify,0.001,5,TvT_33,2,both,474,512,0.92578125,,,,search stimuli (classify),1,33,0.36666666666666664
3658,alexnet,transfer,classify,0.001,5,TvT_33,4,both,384,512,0.75,,,,search stimuli (classify),1,33,0.36666666666666664
3659,alexnet,transfer,classify,0.001,5,TvT_33,8,both,311,512,0.607421875,,,,search stimuli (classify),1,33,0.36666666666666664
3668,alexnet,transfer,classify,0.001,5,TvT_41,1,both,512,512,1.0,,,,search stimuli (classify),1,41,0.45555555555555555
3669,alexnet,transfer,classify,0.001,5,TvT_41,2,both,507,512,0.990234375,,,,search stimuli (classify),1,41,0.45555555555555555
3670,alexnet,transfer,classify,0.001,5,TvT_41,4,both,463,512,0.904296875,,,,search stimuli (classify),1,41,0.45555555555555555
3671,alexnet,transfer,classify,0.001,5,TvT_41,8,both,413,512,0.806640625,,,,search stimuli (classify),1,41,0.45555555555555555
3680,alexnet,transfer,classify,0.001,5,TvT_49,1,both,512,512,1.0,,,,search stimuli (classify),1,49,0.5444444444444444
3681,alexnet,transfer,classify,0.001,5,TvT_49,2,both,511,512,0.998046875,,,,search stimuli (classify),1,49,0.5444444444444444
3682,alexnet,transfer,classify,0.001,5,TvT_49,4,both,489,512,0.955078125,,,,search stimuli (classify),1,49,0.5444444444444444
3683,alexnet,transfer,classify,0.001,5,TvT_49,8,both,458,512,0.89453125,,,,search stimuli (classify),1,49,0.5444444444444444
3692,alexnet,transfer,classify,0.001,5,TvT_57,1,both,512,512,1.0,,,,search stimuli (classify),1,57,0.6333333333333333
3693,alexnet,transfer,classify,0.001,5,TvT_57,2,both,512,512,1.0,,,,search stimuli (classify),1,57,0.6333333333333333
3694,alexnet,transfer,classify,0.001,5,TvT_57,4,both,509,512,0.994140625,,,,search stimuli (classify),1,57,0.6333333333333333
3695,alexnet,transfer,classify,0.001,5,TvT_57,8,both,498,512,0.97265625,,,,search stimuli (classify),1,57,0.6333333333333333
3704,alexnet,transfer,classify,0.001,5,TvT_65,1,both,512,512,1.0,,,,search stimuli (classify),1,65,0.7222222222222222
3705,alexnet,transfer,classify,0.001,5,TvT_65,2,both,512,512,1.0,,,,search stimuli (classify),1,65,0.7222222222222222
3706,alexnet,transfer,classify,0.001,5,TvT_65,4,both,512,512,1.0,,,,search stimuli (classify),1,65,0.7222222222222222
3707,alexnet,transfer,classify,0.001,5,TvT_65,8,both,512,512,1.0,,,,search stimuli (classify),1,65,0.7222222222222222
3716,alexnet,transfer,classify,0.001,5,TvT_74,1,both,512,512,1.0,,,,search stimuli (classify),1,74,0.8222222222222222
3717,alexnet,transfer,classify,0.001,5,TvT_74,2,both,512,512,1.0,,,,search stimuli (classify),1,74,0.8222222222222222
3718,alexnet,transfer,classify,0.001,5,TvT_74,4,both,512,512,1.0,,,,search stimuli (classify),1,74,0.8222222222222222
3719,alexnet,transfer,classify,0.001,5,TvT_74,8,both,512,512,1.0,,,,search stimuli (classify),1,74,0.8222222222222222
3728,alexnet,transfer,classify,0.001,5,TvT_82,1,both,512,512,1.0,,,,search stimuli (classify),1,82,0.9111111111111111
3729,alexnet,transfer,classify,0.001,5,TvT_82,2,both,512,512,1.0,,,,search stimuli (classify),1,82,0.9111111111111111
3730,alexnet,transfer,classify,0.001,5,TvT_82,4,both,512,512,1.0,,,,search stimuli (classify),1,82,0.9111111111111111
3731,alexnet,transfer,classify,0.001,5,TvT_82,8,both,512,512,1.0,,,,search stimuli (classify),1,82,0.9111111111111111
3740,alexnet,transfer,classify,0.001,5,TvT_90,1,both,512,512,1.0,,,,search stimuli (classify),1,90,1.0
3741,alexnet,transfer,classify,0.001,5,TvT_90,2,both,512,512,1.0,,,,search stimuli (classify),1,90,1.0
3742,alexnet,transfer,classify,0.001,5,TvT_90,4,both,512,512,1.0,,,,search stimuli (classify),1,90,1.0
3743,alexnet,transfer,classify,0.001,5,TvT_90,8,both,512,512,1.0,,,,search stimuli (classify),1,90,1.0
3896,alexnet,transfer,classify,0.001,6,TvT_4,1,both,256,512,0.5,,,,search stimuli (classify),1,4,0.044444444444444446
3897,alexnet,transfer,classify,0.001,6,TvT_4,2,both,256,512,0.5,,,,search stimuli (classify),1,4,0.044444444444444446
3898,alexnet,transfer,classify,0.001,6,TvT_4,4,both,256,512,0.5,,,,search stimuli (classify),1,4,0.044444444444444446
3899,alexnet,transfer,classify,0.001,6,TvT_4,8,both,256,512,0.5,,,,search stimuli (classify),1,4,0.044444444444444446
3908,alexnet,transfer,classify,0.001,6,TvT_8,1,both,256,512,0.5,,,,search stimuli (classify),1,8,0.08888888888888889
3909,alexnet,transfer,classify,0.001,6,TvT_8,2,both,256,512,0.5,,,,search stimuli (classify),1,8,0.08888888888888889
3910,alexnet,transfer,classify,0.001,6,TvT_8,4,both,256,512,0.5,,,,search stimuli (classify),1,8,0.08888888888888889
3911,alexnet,transfer,classify,0.001,6,TvT_8,8,both,256,512,0.5,,,,search stimuli (classify),1,8,0.08888888888888889
3920,alexnet,transfer,classify,0.001,6,TvT_16,1,both,261,512,0.509765625,,,,search stimuli (classify),1,16,0.17777777777777778
3921,alexnet,transfer,classify,0.001,6,TvT_16,2,both,257,512,0.501953125,,,,search stimuli (classify),1,16,0.17777777777777778
3922,alexnet,transfer,classify,0.001,6,TvT_16,4,both,256,512,0.5,,,,search stimuli (classify),1,16,0.17777777777777778
3923,alexnet,transfer,classify,0.001,6,TvT_16,8,both,256,512,0.5,,,,search stimuli (classify),1,16,0.17777777777777778
3932,alexnet,transfer,classify,0.001,6,TvT_25,1,both,389,512,0.759765625,,,,search stimuli (classify),1,25,0.2777777777777778
3933,alexnet,transfer,classify,0.001,6,TvT_25,2,both,306,512,0.59765625,,,,search stimuli (classify),1,25,0.2777777777777778
3934,alexnet,transfer,classify,0.001,6,TvT_25,4,both,262,512,0.51171875,,,,search stimuli (classify),1,25,0.2777777777777778
3935,alexnet,transfer,classify,0.001,6,TvT_25,8,both,259,512,0.505859375,,,,search stimuli (classify),1,25,0.2777777777777778
3944,alexnet,transfer,classify,0.001,6,TvT_33,1,both,510,512,0.99609375,,,,search stimuli (classify),1,33,0.36666666666666664
3945,alexnet,transfer,classify,0.001,6,TvT_33,2,both,451,512,0.880859375,,,,search stimuli (classify),1,33,0.36666666666666664
3946,alexnet,transfer,classify,0.001,6,TvT_33,4,both,334,512,0.65234375,,,,search stimuli (classify),1,33,0.36666666666666664
3947,alexnet,transfer,classify,0.001,6,TvT_33,8,both,278,512,0.54296875,,,,search stimuli (classify),1,33,0.36666666666666664
3956,alexnet,transfer,classify,0.001,6,TvT_41,1,both,512,512,1.0,,,,search stimuli (classify),1,41,0.45555555555555555
3957,alexnet,transfer,classify,0.001,6,TvT_41,2,both,500,512,0.9765625,,,,search stimuli (classify),1,41,0.45555555555555555
3958,alexnet,transfer,classify,0.001,6,TvT_41,4,both,413,512,0.806640625,,,,search stimuli (classify),1,41,0.45555555555555555
3959,alexnet,transfer,classify,0.001,6,TvT_41,8,both,342,512,0.66796875,,,,search stimuli (classify),1,41,0.45555555555555555
3968,alexnet,transfer,classify,0.001,6,TvT_49,1,both,512,512,1.0,,,,search stimuli (classify),1,49,0.5444444444444444
3969,alexnet,transfer,classify,0.001,6,TvT_49,2,both,509,512,0.994140625,,,,search stimuli (classify),1,49,0.5444444444444444
3970,alexnet,transfer,classify,0.001,6,TvT_49,4,both,457,512,0.892578125,,,,search stimuli (classify),1,49,0.5444444444444444
3971,alexnet,transfer,classify,0.001,6,TvT_49,8,both,403,512,0.787109375,,,,search stimuli (classify),1,49,0.5444444444444444
3980,alexnet,transfer,classify,0.001,6,TvT_57,1,both,512,512,1.0,,,,search stimuli (classify),1,57,0.6333333333333333
3981,alexnet,transfer,classify,0.001,6,TvT_57,2,both,512,512,1.0,,,,search stimuli (classify),1,57,0.6333333333333333
3982,alexnet,transfer,classify,0.001,6,TvT_57,4,both,500,512,0.9765625,,,,search stimuli (classify),1,57,0.6333333333333333
3983,alexnet,transfer,classify,0.001,6,TvT_57,8,both,468,512,0.9140625,,,,search stimuli (classify),1,57,0.6333333333333333
3992,alexnet,transfer,classify,0.001,6,TvT_65,1,both,512,512,1.0,,,,search stimuli (classify),1,65,0.7222222222222222
3993,alexnet,transfer,classify,0.001,6,TvT_65,2,both,512,512,1.0,,,,search stimuli (classify),1,65,0.7222222222222222
3994,alexnet,transfer,classify,0.001,6,TvT_65,4,both,512,512,1.0,,,,search stimuli (classify),1,65,0.7222222222222222
3995,alexnet,transfer,classify,0.001,6,TvT_65,8,both,505,512,0.986328125,,,,search stimuli (classify),1,65,0.7222222222222222
4004,alexnet,transfer,classify,0.001,6,TvT_74,1,both,512,512,1.0,,,,search stimuli (classify),1,74,0.8222222222222222
4005,alexnet,transfer,classify,0.001,6,TvT_74,2,both,512,512,1.0,,,,search stimuli (classify),1,74,0.8222222222222222
4006,alexnet,transfer,classify,0.001,6,TvT_74,4,both,512,512,1.0,,,,search stimuli (classify),1,74,0.8222222222222222
4007,alexnet,transfer,classify,0.001,6,TvT_74,8,both,512,512,1.0,,,,search stimuli (classify),1,74,0.8222222222222222
4016,alexnet,transfer,classify,0.001,6,TvT_82,1,both,512,512,1.0,,,,search stimuli (classify),1,82,0.9111111111111111
4017,alexnet,transfer,classify,0.001,6,TvT_82,2,both,512,512,1.0,,,,search stimuli (classify),1,82,0.9111111111111111
4018,alexnet,transfer,classify,0.001,6,TvT_82,4,both,512,512,1.0,,,,search stimuli (classify),1,82,0.9111111111111111
4019,alexnet,transfer,classify,0.001,6,TvT_82,8,both,511,512,0.998046875,,,,search stimuli (classify),1,82,0.9111111111111111
4028,alexnet,transfer,classify,0.001,6,TvT_90,1,both,512,512,1.0,,,,search stimuli (classify),1,90,1.0
4029,alexnet,transfer,classify,0.001,6,TvT_90,2,both,512,512,1.0,,,,search stimuli (classify),1,90,1.0
4030,alexnet,transfer,classify,0.001,6,TvT_90,4,both,512,512,1.0,,,,search stimuli (classify),1,90,1.0
4031,alexnet,transfer,classify,0.001,6,TvT_90,8,both,512,512,1.0,,,,search stimuli (classify),1,90,1.0
4184,alexnet,transfer,classify,0.001,7,TvT_4,1,both,256,512,0.5,,,,search stimuli (classify),1,4,0.044444444444444446
4185,alexnet,transfer,classify,0.001,7,TvT_4,2,both,256,512,0.5,,,,search stimuli (classify),1,4,0.044444444444444446
4186,alexnet,transfer,classify,0.001,7,TvT_4,4,both,256,512,0.5,,,,search stimuli (classify),1,4,0.044444444444444446
4187,alexnet,transfer,classify,0.001,7,TvT_4,8,both,256,512,0.5,,,,search stimuli (classify),1,4,0.044444444444444446
4196,alexnet,transfer,classify,0.001,7,TvT_8,1,both,256,512,0.5,,,,search stimuli (classify),1,8,0.08888888888888889
4197,alexnet,transfer,classify,0.001,7,TvT_8,2,both,256,512,0.5,,,,search stimuli (classify),1,8,0.08888888888888889
4198,alexnet,transfer,classify,0.001,7,TvT_8,4,both,256,512,0.5,,,,search stimuli (classify),1,8,0.08888888888888889
4199,alexnet,transfer,classify,0.001,7,TvT_8,8,both,256,512,0.5,,,,search stimuli (classify),1,8,0.08888888888888889
4208,alexnet,transfer,classify,0.001,7,TvT_16,1,both,262,512,0.51171875,,,,search stimuli (classify),1,16,0.17777777777777778
4209,alexnet,transfer,classify,0.001,7,TvT_16,2,both,257,512,0.501953125,,,,search stimuli (classify),1,16,0.17777777777777778
4210,alexnet,transfer,classify,0.001,7,TvT_16,4,both,256,512,0.5,,,,search stimuli (classify),1,16,0.17777777777777778
4211,alexnet,transfer,classify,0.001,7,TvT_16,8,both,256,512,0.5,,,,search stimuli (classify),1,16,0.17777777777777778
4220,alexnet,transfer,classify,0.001,7,TvT_25,1,both,399,512,0.779296875,,,,search stimuli (classify),1,25,0.2777777777777778
4221,alexnet,transfer,classify,0.001,7,TvT_25,2,both,310,512,0.60546875,,,,search stimuli (classify),1,25,0.2777777777777778
4222,alexnet,transfer,classify,0.001,7,TvT_25,4,both,262,512,0.51171875,,,,search stimuli (classify),1,25,0.2777777777777778
4223,alexnet,transfer,classify,0.001,7,TvT_25,8,both,262,512,0.51171875,,,,search stimuli (classify),1,25,0.2777777777777778
4232,alexnet,transfer,classify,0.001,7,TvT_33,1,both,510,512,0.99609375,,,,search stimuli (classify),1,33,0.36666666666666664
4233,alexnet,transfer,classify,0.001,7,TvT_33,2,both,459,512,0.896484375,,,,search stimuli (classify),1,33,0.36666666666666664
4234,alexnet,transfer,classify,0.001,7,TvT_33,4,both,343,512,0.669921875,,,,search stimuli (classify),1,33,0.36666666666666664
4235,alexnet,transfer,classify,0.001,7,TvT_33,8,both,300,512,0.5859375,,,,search stimuli (classify),1,33,0.36666666666666664
4244,alexnet,transfer,classify,0.001,7,TvT_41,1,both,512,512,1.0,,,,search stimuli (classify),1,41,0.45555555555555555
4245,alexnet,transfer,classify,0.001,7,TvT_41,2,both,504,512,0.984375,,,,search stimuli (classify),1,41,0.45555555555555555
4246,alexnet,transfer,classify,0.001,7,TvT_41,4,both,421,512,0.822265625,,,,search stimuli (classify),1,41,0.45555555555555555
4247,alexnet,transfer,classify,0.001,7,TvT_41,8,both,385,512,0.751953125,,,,search stimuli (classify),1,41,0.45555555555555555
4256,alexnet,transfer,classify,0.001,7,TvT_49,1,both,512,512,1.0,,,,search stimuli (classify),1,49,0.5444444444444444
4257,alexnet,transfer,classify,0.001,7,TvT_49,2,both,510,512,0.99609375,,,,search stimuli (classify),1,49,0.5444444444444444
4258,alexnet,transfer,classify,0.001,7,TvT_49,4,both,467,512,0.912109375,,,,search stimuli (classify),1,49,0.5444444444444444
4259,alexnet,transfer,classify,0.001,7,TvT_49,8,both,438,512,0.85546875,,,,search stimuli (classify),1,49,0.5444444444444444
4268,alexnet,transfer,classify,0.001,7,TvT_57,1,both,512,512,1.0,,,,search stimuli (classify),1,57,0.6333333333333333
4269,alexnet,transfer,classify,0.001,7,TvT_57,2,both,512,512,1.0,,,,search stimuli (classify),1,57,0.6333333333333333
4270,alexnet,transfer,classify,0.001,7,TvT_57,4,both,504,512,0.984375,,,,search stimuli (classify),1,57,0.6333333333333333
4271,alexnet,transfer,classify,0.001,7,TvT_57,8,both,493,512,0.962890625,,,,search stimuli (classify),1,57,0.6333333333333333
4280,alexnet,transfer,classify,0.001,7,TvT_65,1,both,512,512,1.0,,,,search stimuli (classify),1,65,0.7222222222222222
4281,alexnet,transfer,classify,0.001,7,TvT_65,2,both,512,512,1.0,,,,search stimuli (classify),1,65,0.7222222222222222
4282,alexnet,transfer,classify,0.001,7,TvT_65,4,both,512,512,1.0,,,,search stimuli (classify),1,65,0.7222222222222222
4283,alexnet,transfer,classify,0.001,7,TvT_65,8,both,511,512,0.998046875,,,,search stimuli (classify),1,65,0.7222222222222222
4292,alexnet,transfer,classify,0.001,7,TvT_74,1,both,512,512,1.0,,,,search stimuli (classify),1,74,0.8222222222222222
4293,alexnet,transfer,classify,0.001,7,TvT_74,2,both,512,512,1.0,,,,search stimuli (classify),1,74,0.8222222222222222
4294,alexnet,transfer,classify,0.001,7,TvT_74,4,both,512,512,1.0,,,,search stimuli (classify),1,74,0.8222222222222222
4295,alexnet,transfer,classify,0.001,7,TvT_74,8,both,512,512,1.0,,,,search stimuli (classify),1,74,0.8222222222222222
4304,alexnet,transfer,classify,0.001,7,TvT_82,1,both,512,512,1.0,,,,search stimuli (classify),1,82,0.9111111111111111
4305,alexnet,transfer,classify,0.001,7,TvT_82,2,both,512,512,1.0,,,,search stimuli (classify),1,82,0.9111111111111111
4306,alexnet,transfer,classify,0.001,7,TvT_82,4,both,512,512,1.0,,,,search stimuli (classify),1,82,0.9111111111111111
4307,alexnet,transfer,classify,0.001,7,TvT_82,8,both,512,512,1.0,,,,search stimuli (classify),1,82,0.9111111111111111
4316,alexnet,transfer,classify,0.001,7,TvT_90,1,both,512,512,1.0,,,,search stimuli (classify),1,90,1.0
4317,alexnet,transfer,classify,0.001,7,TvT_90,2,both,512,512,1.0,,,,search stimuli (classify),1,90,1.0
4318,alexnet,transfer,classify,0.001,7,TvT_90,4,both,512,512,1.0,,,,search stimuli (classify),1,90,1.0
4319,alexnet,transfer,classify,0.001,7,TvT_90,8,both,512,512,1.0,,,,search stimuli (classify),1,90,1.0
4472,alexnet,transfer,classify,0.001,8,TvT_4,1,both,256,512,0.5,,,,search stimuli (classify),1,4,0.044444444444444446
4473,alexnet,transfer,classify,0.001,8,TvT_4,2,both,256,512,0.5,,,,search stimuli (classify),1,4,0.044444444444444446
4474,alexnet,transfer,classify,0.001,8,TvT_4,4,both,256,512,0.5,,,,search stimuli (classify),1,4,0.044444444444444446
4475,alexnet,transfer,classify,0.001,8,TvT_4,8,both,256,512,0.5,,,,search stimuli (classify),1,4,0.044444444444444446
4484,alexnet,transfer,classify,0.001,8,TvT_8,1,both,256,512,0.5,,,,search stimuli (classify),1,8,0.08888888888888889
4485,alexnet,transfer,classify,0.001,8,TvT_8,2,both,256,512,0.5,,,,search stimuli (classify),1,8,0.08888888888888889
4486,alexnet,transfer,classify,0.001,8,TvT_8,4,both,256,512,0.5,,,,search stimuli (classify),1,8,0.08888888888888889
4487,alexnet,transfer,classify,0.001,8,TvT_8,8,both,256,512,0.5,,,,search stimuli (classify),1,8,0.08888888888888889
4496,alexnet,transfer,classify,0.001,8,TvT_16,1,both,261,512,0.509765625,,,,search stimuli (classify),1,16,0.17777777777777778
4497,alexnet,transfer,classify,0.001,8,TvT_16,2,both,257,512,0.501953125,,,,search stimuli (classify),1,16,0.17777777777777778
4498,alexnet,transfer,classify,0.001,8,TvT_16,4,both,256,512,0.5,,,,search stimuli (classify),1,16,0.17777777777777778
4499,alexnet,transfer,classify,0.001,8,TvT_16,8,both,256,512,0.5,,,,search stimuli (classify),1,16,0.17777777777777778
4508,alexnet,transfer,classify,0.001,8,TvT_25,1,both,394,512,0.76953125,,,,search stimuli (classify),1,25,0.2777777777777778
4509,alexnet,transfer,classify,0.001,8,TvT_25,2,both,307,512,0.599609375,,,,search stimuli (classify),1,25,0.2777777777777778
4510,alexnet,transfer,classify,0.001,8,TvT_25,4,both,264,512,0.515625,,,,search stimuli (classify),1,25,0.2777777777777778
4511,alexnet,transfer,classify,0.001,8,TvT_25,8,both,264,512,0.515625,,,,search stimuli (classify),1,25,0.2777777777777778
4520,alexnet,transfer,classify,0.001,8,TvT_33,1,both,508,512,0.9921875,,,,search stimuli (classify),1,33,0.36666666666666664
4521,alexnet,transfer,classify,0.001,8,TvT_33,2,both,453,512,0.884765625,,,,search stimuli (classify),1,33,0.36666666666666664
4522,alexnet,transfer,classify,0.001,8,TvT_33,4,both,344,512,0.671875,,,,search stimuli (classify),1,33,0.36666666666666664
4523,alexnet,transfer,classify,0.001,8,TvT_33,8,both,306,512,0.59765625,,,,search stimuli (classify),1,33,0.36666666666666664
4532,alexnet,transfer,classify,0.001,8,TvT_41,1,both,512,512,1.0,,,,search stimuli (classify),1,41,0.45555555555555555
4533,alexnet,transfer,classify,0.001,8,TvT_41,2,both,504,512,0.984375,,,,search stimuli (classify),1,41,0.45555555555555555
4534,alexnet,transfer,classify,0.001,8,TvT_41,4,both,423,512,0.826171875,,,,search stimuli (classify),1,41,0.45555555555555555
4535,alexnet,transfer,classify,0.001,8,TvT_41,8,both,401,512,0.783203125,,,,search stimuli (classify),1,41,0.45555555555555555
4544,alexnet,transfer,classify,0.001,8,TvT_49,1,both,512,512,1.0,,,,search stimuli (classify),1,49,0.5444444444444444
4545,alexnet,transfer,classify,0.001,8,TvT_49,2,both,510,512,0.99609375,,,,search stimuli (classify),1,49,0.5444444444444444
4546,alexnet,transfer,classify,0.001,8,TvT_49,4,both,468,512,0.9140625,,,,search stimuli (classify),1,49,0.5444444444444444
4547,alexnet,transfer,classify,0.001,8,TvT_49,8,both,448,512,0.875,,,,search stimuli (classify),1,49,0.5444444444444444
4556,alexnet,transfer,classify,0.001,8,TvT_57,1,both,512,512,1.0,,,,search stimuli (classify),1,57,0.6333333333333333
4557,alexnet,transfer,classify,0.001,8,TvT_57,2,both,512,512,1.0,,,,search stimuli (classify),1,57,0.6333333333333333
4558,alexnet,transfer,classify,0.001,8,TvT_57,4,both,504,512,0.984375,,,,search stimuli (classify),1,57,0.6333333333333333
4559,alexnet,transfer,classify,0.001,8,TvT_57,8,both,496,512,0.96875,,,,search stimuli (classify),1,57,0.6333333333333333
4568,alexnet,transfer,classify,0.001,8,TvT_65,1,both,512,512,1.0,,,,search stimuli (classify),1,65,0.7222222222222222
4569,alexnet,transfer,classify,0.001,8,TvT_65,2,both,512,512,1.0,,,,search stimuli (classify),1,65,0.7222222222222222
4570,alexnet,transfer,classify,0.001,8,TvT_65,4,both,512,512,1.0,,,,search stimuli (classify),1,65,0.7222222222222222
4571,alexnet,transfer,classify,0.001,8,TvT_65,8,both,512,512,1.0,,,,search stimuli (classify),1,65,0.7222222222222222
4580,alexnet,transfer,classify,0.001,8,TvT_74,1,both,512,512,1.0,,,,search stimuli (classify),1,74,0.8222222222222222
4581,alexnet,transfer,classify,0.001,8,TvT_74,2,both,512,512,1.0,,,,search stimuli (classify),1,74,0.8222222222222222
4582,alexnet,transfer,classify,0.001,8,TvT_74,4,both,512,512,1.0,,,,search stimuli (classify),1,74,0.8222222222222222
4583,alexnet,transfer,classify,0.001,8,TvT_74,8,both,512,512,1.0,,,,search stimuli (classify),1,74,0.8222222222222222
4592,alexnet,transfer,classify,0.001,8,TvT_82,1,both,512,512,1.0,,,,search stimuli (classify),1,82,0.9111111111111111
4593,alexnet,transfer,classify,0.001,8,TvT_82,2,both,512,512,1.0,,,,search stimuli (classify),1,82,0.9111111111111111
4594,alexnet,transfer,classify,0.001,8,TvT_82,4,both,512,512,1.0,,,,search stimuli (classify),1,82,0.9111111111111111
4595,alexnet,transfer,classify,0.001,8,TvT_82,8,both,512,512,1.0,,,,search stimuli (classify),1,82,0.9111111111111111
