,net_name,method,source_dataset,net_number,intercept,intercept_stderr,pvalue,rvalue,slope,stderr
0,alexnet,transfer,search stimuli (classify),1,-0.572477810616463,0.01053486565203538,0.005743602442514705,0.9942563975574853,0.24576266980927916,0.018706184221497536
1,alexnet,transfer,search stimuli (classify),2,-0.5622520387741515,0.008910538021390517,0.0049781245478141,0.9950218754521859,0.2234091980889224,0.015821954569357557
2,alexnet,transfer,search stimuli (classify),3,-0.5660834708568202,0.026631905933291587,0.04036552939960991,0.9596344706003901,0.2281846519240483,0.04728881743845447
3,alexnet,transfer,search stimuli (classify),4,-0.5828989189009325,0.022512163143143728,0.034170101355111324,0.9658298986448887,0.21066528472858315,0.03997361569567734
4,alexnet,transfer,search stimuli (classify),5,-0.575634678541542,0.004679124724021614,0.0011570323879915856,0.9988429676120084,0.24404557919147177,0.008308465620157315
5,alexnet,transfer,search stimuli (classify),6,-0.5640915953601666,0.012092178545401042,0.004733157649356111,0.9952668423506439,0.31098490726006417,0.021471419473281038
6,alexnet,transfer,search stimuli (classify),7,-0.5636600732533665,0.01730299587619792,0.012464020008855933,0.9875359799911441,0.27262072403297477,0.030723982548504118
7,alexnet,transfer,search stimuli (classify),8,-0.5571930345258079,0.01935044260267601,0.017908161818163456,0.9820918381818365,0.2532951164147519,0.034359521616038544
8,alexnet,transfer,ImageNet,1,-0.21283510401121286,0.029547204742822866,0.037061736456402664,0.9629382635435974,0.2648926127581785,0.05246535394049029
9,alexnet,transfer,ImageNet,2,-0.1439311295268936,0.012665384603443533,0.016695837123190446,0.9833041628768096,0.17186154118213542,0.022489230091164866
10,alexnet,transfer,ImageNet,3,-0.06700301722409896,0.02332546872802414,0.155519252123645,0.844480747876355,0.09235537867398635,0.04141775789944682
11,alexnet,transfer,ImageNet,4,-0.18794564372082673,0.008742756675233438,0.005510549348384241,0.9944894506516158,0.20826028365660199,0.015524034417946912
12,alexnet,transfer,ImageNet,5,-0.28615571500194203,0.018545583836799606,0.009481753947722105,0.9905182460522779,0.33577377336604747,0.03293037796636492
13,alexnet,transfer,ImageNet,6,-0.13262529681221757,0.023136942962153195,0.05347043005273222,0.9465295699472678,0.17046060440915356,0.04108300301757517
14,alexnet,transfer,ImageNet,7,-0.14332468464234077,0.024997043857613813,0.053449886741339096,0.9465501132586609,0.18420324564402704,0.044385882348963346
15,alexnet,transfer,ImageNet,8,-0.07247376614797754,0.012257194027466636,0.05134524704302169,0.9486547529569783,0.09231087694125775,0.02176442843123788
16,alexnet,transfer,Stylized ImageNet,1,-0.09621320903689462,0.021352998347433653,0.15179978263244787,0.848200217367552,0.08586543330364478,0.03791535022482742
17,alexnet,transfer,Stylized ImageNet,2,-0.12131717375501277,0.020009338087013873,0.08247795714389028,0.9175220428561097,0.1159261204116089,0.035529486257244544
18,alexnet,transfer,Stylized ImageNet,3,-0.1472450801465991,0.03963313774631208,0.21973252159619147,0.7802674784038084,0.12416047543633639,0.07037439303416868
19,alexnet,transfer,Stylized ImageNet,4,-0.1388948230664595,0.033709439830723734,0.14832227640323706,0.8516777235967629,0.13756632481202874,0.05985600693020467
20,alexnet,transfer,Stylized ImageNet,5,-0.12296344754295198,0.028297634197710482,0.16522217690587268,0.8347778230941273,0.107737358516032,0.050246559929565886
21,alexnet,transfer,Stylized ImageNet,6,-0.13438962438888163,0.032546510770907665,0.17950696682829928,0.8204930331717006,0.11730468886935387,0.05779105746165124
22,alexnet,transfer,Stylized ImageNet,7,-0.08673448976402989,0.007494254154668391,0.02126570126423376,0.9787342987357662,0.08979059168880153,0.013307136839743668
23,alexnet,transfer,Stylized ImageNet,8,-0.12599061594575722,0.03470165506286884,0.23296627702035888,0.7670337229796411,0.10417581374958255,0.06161782920045795
24,alexnet,transfer,"DomainNet, Clipart domain",1,-0.1427160536363587,0.011873392283542039,0.01857201869658953,0.9814279813034105,0.15254070663635422,0.021082932685252888
25,alexnet,transfer,"DomainNet, Clipart domain",2,-0.13920634286247996,0.011615656310026694,0.024315875626755305,0.9756841243732447,0.12984358070056662,0.0206252850264853
26,alexnet,transfer,"DomainNet, Clipart domain",3,-0.13902704363656226,0.00772949780964296,0.014231756924737098,0.9857682430752629,0.11381611715956068,0.013724846119789637
27,alexnet,transfer,"DomainNet, Clipart domain",4,-0.13795538772116905,0.007083680128999592,0.013703378841655288,0.9862966211583447,0.10634126114598234,0.012578103018677468
28,alexnet,transfer,"DomainNet, Clipart domain",5,-0.15526872282781978,0.011518766668816823,0.018585995645696407,0.9814140043543036,0.14792749588909976,0.020453243394679917
29,alexnet,transfer,"DomainNet, Clipart domain",6,-0.13353564305440896,0.011205350715701218,0.033249716620229026,0.966750283379771,0.10637568765740704,0.019896727844260532
30,alexnet,transfer,"DomainNet, Clipart domain",7,-0.15063632235678004,0.009923762811146328,0.011674615550181008,0.988325384449819,0.16165253013782968,0.01762108236092065
31,alexnet,transfer,"DomainNet, Clipart domain",8,-0.135102279821182,0.00881892683474592,0.013288562318297337,0.9867114376817027,0.1344840286690728,0.01565928560036195
32,VGG16,transfer,search stimuli (classify),1,-0.5741156924163926,0.032229601746863436,0.03416894904748502,0.965831050952515,0.3016049049531771,0.05722833945640729
33,VGG16,transfer,search stimuli (classify),2,-0.57442307923759,0.03435182005150674,0.03685357046861903,0.963146429531381,0.3088852301253484,0.060996646322021834
34,VGG16,transfer,search stimuli (classify),3,-0.5703328473459728,0.025241491921140335,0.022658322603233076,0.9773416773967669,0.2926697960910591,0.04481993539339225
