CI95%,dof,loss_func,method,mode,net_name,power,pval,r
"[-0.98, -0.95]",55,CE-random,transfer,classify,CORnet_S,1.0,4.6058781289604705e-36,-0.9714848111518315
"[-0.97, -0.91]",55,CE-random,transfer,classify,CORnet_Z,1.0,2.1734654925496956e-28,-0.9451018435116454
"[-0.98, -0.95]",55,CE-random,transfer,classify,VGG16,1.0,4.816479794241924e-35,-0.9689061881568999
"[-0.98, -0.93]",55,CE-random,transfer,classify,alexnet,1.0,8.253686221601471e-32,-0.9590460404343983
"[-0.97, -0.9]",55,CE-largest,transfer,classify,CORnet_S,1.0,1.3980328232730822e-27,-0.9411463705117785
"[-0.96, -0.89]",55,CE-largest,transfer,classify,CORnet_Z,1.0,2.8188680257514716e-26,-0.9341326394813199
"[-0.96, -0.9]",55,CE-largest,transfer,classify,VGG16,1.0,2.6546594536275873e-27,-0.9397166846127253
"[-0.97, -0.91]",55,CE-largest,transfer,classify,alexnet,1.0,4.1318553804143696e-29,-0.9483991830184023
"[-0.95, -0.87]",55,BCE,transfer,classify,CORnet_S,1.0,1.9749018963634245e-24,-0.9227024291043557
"[-0.57, -0.11]",55,BCE,transfer,classify,CORnet_Z,0.8078623787926121,0.005297183268432785,-0.3646015225344666
"[-0.99, -0.96]",55,BCE,transfer,classify,VGG16,1.0,1.7575277484684075e-39,-0.9786545289474237
"[-0.96, -0.9]",55,BCE,transfer,classify,alexnet,1.0,3.5880167512063726e-27,-0.9390326549115089
"[-0.94, -0.84]",55,CE-largest,initialize,classify,CORnet_S,1.0,3.5656567833169203e-22,-0.9058618667852576
"[-0.95, -0.87]",55,CE-largest,initialize,classify,CORnet_Z,1.0,1.91995639362433e-24,-0.9227847654837682
"[-0.87, -0.66]",55,CE-largest,initialize,classify,VGG16,0.9999999969879773,6.606990299531147e-13,-0.7823981352801155
"[-0.9, -0.74]",55,CE-largest,initialize,classify,alexnet,0.9999999999988092,4.495687635182063e-16,-0.8377300201058705
"[0.55, 0.82]",55,BCE,initialize,classify,CORnet_S,0.9999981274657098,5.555328622803716e-10,0.71143216431266
"[0.68, 0.88]",55,BCE,initialize,classify,CORnet_Z,0.9999999995057549,1.139581194515825e-13,0.7974457189123053
"[0.01, 0.49]",55,BCE,initialize,classify,VGG16,0.526875014830605,0.04452509934941015,0.2671737040083674
"[-0.5, -0.01]",55,BCE,initialize,classify,alexnet,0.535973136523699,0.042204605878719714,-0.27003946880194096
