method,mode,loss_func,net_name,replicate,vsd_score_bin,acc,n_trials,pred
initialize,classify,CE-largest,CORnet_S,1,0.0,0.6216216216216216,333,0.5888371570504787
initialize,classify,CE-largest,CORnet_S,1,1.0,0.5537459283387622,307,0.5600282757200149
initialize,classify,CE-largest,CORnet_S,1,2.0,0.5253623188405797,276,0.531219394389551
initialize,classify,CE-largest,CORnet_S,1,3.0,0.49065420560747663,214,0.5024105130590872
initialize,classify,CE-largest,CORnet_S,1,4.0,0.4702702702702703,185,0.47360163172862335
initialize,classify,CE-largest,CORnet_S,1,5.0,0.463855421686747,166,0.4447927503981596
initialize,classify,CE-largest,CORnet_S,1,6.0,0.4452054794520548,146,0.4159838690676957
initialize,classify,CE-largest,CORnet_S,1,7.0,0.3333333333333333,117,0.3871749877372319
transfer,classify,CE-largest,CORnet_S,1,0.0,0.9279279279279279,333,0.9386574251347743
transfer,classify,CE-largest,CORnet_S,1,1.0,0.8794788273615635,307,0.8985314469333517
transfer,classify,CE-largest,CORnet_S,1,2.0,0.8369565217391305,276,0.8584054687319292
transfer,classify,CE-largest,CORnet_S,1,3.0,0.822429906542056,214,0.8182794905305066
transfer,classify,CE-largest,CORnet_S,1,4.0,0.7945945945945946,185,0.7781535123290841
transfer,classify,CE-largest,CORnet_S,1,5.0,0.7469879518072289,166,0.7380275341276615
transfer,classify,CE-largest,CORnet_S,1,6.0,0.7534246575342466,146,0.6979015559262389
transfer,classify,CE-largest,CORnet_S,1,7.0,0.6239316239316239,117,0.6577755777248164
transfer,classify,CE-random,CORnet_S,1,0.0,0.9219219219219219,333,0.9143435143350225
transfer,classify,CE-random,CORnet_S,1,1.0,0.9022801302931596,307,0.8723887343181426
transfer,classify,CE-random,CORnet_S,1,2.0,0.8297101449275363,276,0.8304339543012627
transfer,classify,CE-random,CORnet_S,1,3.0,0.780373831775701,214,0.7884791742843829
transfer,classify,CE-random,CORnet_S,1,4.0,0.7135135135135136,185,0.7465243942675029
transfer,classify,CE-random,CORnet_S,1,5.0,0.6867469879518072,166,0.704569614250623
transfer,classify,CE-random,CORnet_S,1,6.0,0.6986301369863014,146,0.6626148342337431
transfer,classify,CE-random,CORnet_S,1,7.0,0.6068376068376068,117,0.6206600542168632
initialize,classify,CE-largest,CORnet_S,2,0.0,0.5165165165165165,333,0.5275506768073746
initialize,classify,CE-largest,CORnet_S,2,1.0,0.48859934853420195,307,0.4987417954769107
initialize,classify,CE-largest,CORnet_S,2,2.0,0.463768115942029,276,0.4699329141464469
initialize,classify,CE-largest,CORnet_S,2,3.0,0.4392523364485981,214,0.44112403281598306
initialize,classify,CE-largest,CORnet_S,2,4.0,0.42162162162162165,185,0.4123151514855192
initialize,classify,CE-largest,CORnet_S,2,5.0,0.4457831325301205,166,0.38350627015505545
initialize,classify,CE-largest,CORnet_S,2,6.0,0.3561643835616438,146,0.35469738882459156
initialize,classify,CE-largest,CORnet_S,2,7.0,0.28205128205128205,117,0.3258885074941278
transfer,classify,CE-largest,CORnet_S,2,0.0,0.9159159159159159,333,0.9151686422215287
transfer,classify,CE-largest,CORnet_S,2,1.0,0.8729641693811075,307,0.8750426640201061
transfer,classify,CE-largest,CORnet_S,2,2.0,0.8333333333333334,276,0.8349166858186836
transfer,classify,CE-largest,CORnet_S,2,3.0,0.7897196261682243,214,0.794790707617261
transfer,classify,CE-largest,CORnet_S,2,4.0,0.772972972972973,185,0.7546647294158384
transfer,classify,CE-largest,CORnet_S,2,5.0,0.7108433734939759,166,0.7145387512144159
transfer,classify,CE-largest,CORnet_S,2,6.0,0.7123287671232876,146,0.6744127730129933
transfer,classify,CE-largest,CORnet_S,2,7.0,0.5897435897435898,117,0.6342867948115707
transfer,classify,CE-random,CORnet_S,2,0.0,0.9039039039039038,333,0.9249265379564751
transfer,classify,CE-random,CORnet_S,2,1.0,0.8827361563517915,307,0.8829717579395951
transfer,classify,CE-random,CORnet_S,2,2.0,0.8405797101449275,276,0.8410169779227152
transfer,classify,CE-random,CORnet_S,2,3.0,0.7850467289719626,214,0.7990621979058354
transfer,classify,CE-random,CORnet_S,2,4.0,0.7189189189189189,185,0.7571074178889555
transfer,classify,CE-random,CORnet_S,2,5.0,0.7469879518072289,166,0.7151526378720756
transfer,classify,CE-random,CORnet_S,2,6.0,0.7054794520547946,146,0.6731978578551957
transfer,classify,CE-random,CORnet_S,2,7.0,0.6410256410256411,117,0.6312430778383158
initialize,classify,CE-largest,CORnet_S,3,0.0,0.5675675675675675,333,0.5878066420293411
initialize,classify,CE-largest,CORnet_S,3,1.0,0.5244299674267101,307,0.5589977606988773
initialize,classify,CE-largest,CORnet_S,3,2.0,0.5434782608695652,276,0.5301888793684135
initialize,classify,CE-largest,CORnet_S,3,3.0,0.5,214,0.5013799980379496
initialize,classify,CE-largest,CORnet_S,3,4.0,0.5135135135135135,185,0.4725711167074858
initialize,classify,CE-largest,CORnet_S,3,5.0,0.4939759036144578,166,0.443762235377022
initialize,classify,CE-largest,CORnet_S,3,6.0,0.410958904109589,146,0.4149533540465582
initialize,classify,CE-largest,CORnet_S,3,7.0,0.3418803418803419,117,0.3861444727160943
transfer,classify,CE-largest,CORnet_S,3,0.0,0.9369369369369369,333,0.9413796093151983
transfer,classify,CE-largest,CORnet_S,3,1.0,0.8892508143322475,307,0.9012536311137757
transfer,classify,CE-largest,CORnet_S,3,2.0,0.8405797101449275,276,0.8611276529123532
transfer,classify,CE-largest,CORnet_S,3,3.0,0.8271028037383178,214,0.8210016747109306
transfer,classify,CE-largest,CORnet_S,3,4.0,0.7891891891891892,185,0.780875696509508
transfer,classify,CE-largest,CORnet_S,3,5.0,0.7590361445783133,166,0.7407497183080854
transfer,classify,CE-largest,CORnet_S,3,6.0,0.7671232876712328,146,0.7006237401066628
transfer,classify,CE-largest,CORnet_S,3,7.0,0.5982905982905983,117,0.6604977619052403
transfer,classify,CE-random,CORnet_S,3,0.0,0.9159159159159159,333,0.9288254438345129
transfer,classify,CE-random,CORnet_S,3,1.0,0.8697068403908795,307,0.8868706638176331
transfer,classify,CE-random,CORnet_S,3,2.0,0.8442028985507246,276,0.8449158838007532
transfer,classify,CE-random,CORnet_S,3,3.0,0.7990654205607477,214,0.8029611037838733
transfer,classify,CE-random,CORnet_S,3,4.0,0.7567567567567568,185,0.7610063237669934
transfer,classify,CE-random,CORnet_S,3,5.0,0.7168674698795181,166,0.7190515437501135
transfer,classify,CE-random,CORnet_S,3,6.0,0.7123287671232876,146,0.6770967637332337
transfer,classify,CE-random,CORnet_S,3,7.0,0.6410256410256411,117,0.6351419837163538
initialize,classify,CE-largest,CORnet_S,4,0.0,0.5405405405405406,333,0.5529649759191338
