method,mode,loss_func,net_name,replicate,vsd_score_bin,acc,n_trials,pred
initialize,classify,CE-largest,CORnet_S,5,3.0,0.3333333333333333,6,0.2193748748445038
initialize,classify,CE-largest,CORnet_S,5,4.0,0.0,4,0.10694718690898797
transfer,classify,CE-largest,CORnet_S,5,0.0,0.8597348220516399,1433,0.8612548267038848
transfer,classify,CE-largest,CORnet_S,5,1.0,0.6847826086956522,276,0.7240791564266718
transfer,classify,CE-largest,CORnet_S,5,2.0,0.64,25,0.5869034861494588
transfer,classify,CE-largest,CORnet_S,5,3.0,0.5,6,0.44972781587224564
transfer,classify,CE-largest,CORnet_S,5,4.0,0.25,4,0.31255214559503264
transfer,classify,CE-random,CORnet_S,5,0.0,0.8415910676901605,1433,0.6942543134399303
transfer,classify,CE-random,CORnet_S,5,1.0,0.6594202898550725,276,0.6405616258078217
transfer,classify,CE-random,CORnet_S,5,2.0,0.6,25,0.5868689381757133
transfer,classify,CE-random,CORnet_S,5,3.0,0.3333333333333333,6,0.5331762505436047
transfer,classify,CE-random,CORnet_S,5,4.0,0.5,4,0.4794835629114962
initialize,classify,CE-largest,CORnet_S,6,0.0,0.5184926727145848,1433,0.5288437654864122
initialize,classify,CE-largest,CORnet_S,6,1.0,0.43478260869565216,276,0.4164160775508964
initialize,classify,CE-largest,CORnet_S,6,2.0,0.4,25,0.3039883896153806
initialize,classify,CE-largest,CORnet_S,6,3.0,0.16666666666666666,6,0.19156070167986483
initialize,classify,CE-largest,CORnet_S,6,4.0,0.0,4,0.079133013744349
transfer,classify,CE-largest,CORnet_S,6,0.0,0.8695045359385903,1433,0.8826870303508401
transfer,classify,CE-largest,CORnet_S,6,1.0,0.7355072463768116,276,0.7455113600736271
transfer,classify,CE-largest,CORnet_S,6,2.0,0.52,25,0.6083356897964141
transfer,classify,CE-largest,CORnet_S,6,3.0,0.6666666666666666,6,0.47116001951920095
transfer,classify,CE-largest,CORnet_S,6,4.0,0.25,4,0.33398434924198794
transfer,classify,CE-random,CORnet_S,6,0.0,0.7983251919050942,1433,0.7812533121959606
transfer,classify,CE-random,CORnet_S,6,1.0,0.6376811594202898,276,0.7275606245638521
transfer,classify,CE-random,CORnet_S,6,2.0,0.6,25,0.6738679369317435
transfer,classify,CE-random,CORnet_S,6,3.0,0.3333333333333333,6,0.6201752492996351
transfer,classify,CE-random,CORnet_S,6,4.0,1.0,4,0.5664825616675265
initialize,classify,CE-largest,CORnet_S,7,0.0,0.5331472435450104,1433,0.5121804767539467
initialize,classify,CE-largest,CORnet_S,7,1.0,0.37681159420289856,276,0.3997527888184309
initialize,classify,CE-largest,CORnet_S,7,2.0,0.36,25,0.2873251008829151
initialize,classify,CE-largest,CORnet_S,7,3.0,0.16666666666666666,6,0.1748974129473993
initialize,classify,CE-largest,CORnet_S,7,4.0,0.0,4,0.06246972501188347
transfer,classify,CE-largest,CORnet_S,7,0.0,0.8527564549895325,1433,0.8380330663349413
transfer,classify,CE-largest,CORnet_S,7,1.0,0.6956521739130435,276,0.7008573960577283
transfer,classify,CE-largest,CORnet_S,7,2.0,0.52,25,0.5636817257805153
transfer,classify,CE-largest,CORnet_S,7,3.0,0.5,6,0.42650605550330223
transfer,classify,CE-largest,CORnet_S,7,4.0,0.25,4,0.2893303852260892
transfer,classify,CE-random,CORnet_S,7,0.0,0.8073970690858339,1433,0.7496763832842825
transfer,classify,CE-random,CORnet_S,7,1.0,0.6340579710144928,276,0.695983695652174
transfer,classify,CE-random,CORnet_S,7,2.0,0.52,25,0.6422910080200654
transfer,classify,CE-random,CORnet_S,7,3.0,0.5,6,0.5885983203879569
transfer,classify,CE-random,CORnet_S,7,4.0,0.75,4,0.5349056327558483
initialize,classify,CE-largest,CORnet_S,8,0.0,0.5191905094207956,1433,0.544258695146495
initialize,classify,CE-largest,CORnet_S,8,1.0,0.4311594202898551,276,0.4318310072109792
initialize,classify,CE-largest,CORnet_S,8,2.0,0.48,25,0.31940331927546345
initialize,classify,CE-largest,CORnet_S,8,3.0,0.16666666666666666,6,0.20697563133994767
initialize,classify,CE-largest,CORnet_S,8,4.0,0.0,4,0.09454794340443184
transfer,classify,CE-largest,CORnet_S,8,0.0,0.8171667829727843,1433,0.7983064362794179
transfer,classify,CE-largest,CORnet_S,8,1.0,0.6159420289855072,276,0.6611307660022049
transfer,classify,CE-largest,CORnet_S,8,2.0,0.52,25,0.5239550957249919
transfer,classify,CE-largest,CORnet_S,8,3.0,0.6666666666666666,6,0.38677942544777877
transfer,classify,CE-largest,CORnet_S,8,4.0,0.0,4,0.24960375517056577
transfer,classify,CE-random,CORnet_S,8,0.0,0.7955338450802513,1433,0.7380283761643253
transfer,classify,CE-random,CORnet_S,8,1.0,0.6376811594202898,276,0.6843356885322167
transfer,classify,CE-random,CORnet_S,8,2.0,0.72,25,0.6306430009001083
transfer,classify,CE-random,CORnet_S,8,3.0,0.5,6,0.5769503132679997
transfer,classify,CE-random,CORnet_S,8,4.0,0.5,4,0.5232576256358912
initialize,classify,CE-largest,CORnet_Z,1,0.0,0.47592463363572923,1433,0.4971596124477886
initialize,classify,CE-largest,CORnet_Z,1,1.0,0.3115942028985507,276,0.38799835654398895
initialize,classify,CE-largest,CORnet_Z,1,2.0,0.44,25,0.2788371006401893
initialize,classify,CE-largest,CORnet_Z,1,3.0,0.16666666666666666,6,0.16967584473638964
initialize,classify,CE-largest,CORnet_Z,1,4.0,0.0,4,0.06051458883258998
transfer,classify,CE-largest,CORnet_Z,1,0.0,0.6127006280530356,1433,0.6438880958160139
transfer,classify,CE-largest,CORnet_Z,1,1.0,0.48188405797101447,276,0.4960691831770787
transfer,classify,CE-largest,CORnet_Z,1,2.0,0.48,25,0.3482502705381435
transfer,classify,CE-largest,CORnet_Z,1,3.0,0.16666666666666666,6,0.2004313578992083
transfer,classify,CE-largest,CORnet_Z,1,4.0,0.0,4,0.05261244526027309
transfer,classify,CE-random,CORnet_Z,1,0.0,0.6147941381716678,1433,0.6642329434549996
transfer,classify,CE-random,CORnet_Z,1,1.0,0.4927536231884058,276,0.5742045811968406
transfer,classify,CE-random,CORnet_Z,1,2.0,0.48,25,0.48417621893868146
transfer,classify,CE-random,CORnet_Z,1,3.0,0.3333333333333333,6,0.39414785668052243
transfer,classify,CE-random,CORnet_Z,1,4.0,0.5,4,0.30411949442236336
initialize,classify,CE-largest,CORnet_Z,2,0.0,0.49127704117236565,1433,0.5291576301870001
initialize,classify,CE-largest,CORnet_Z,2,1.0,0.3695652173913043,276,0.41999637428320047
initialize,classify,CE-largest,CORnet_Z,2,2.0,0.36,25,0.3108351183794008
initialize,classify,CE-largest,CORnet_Z,2,3.0,0.3333333333333333,6,0.20167386247560115
initialize,classify,CE-largest,CORnet_Z,2,4.0,0.0,4,0.09251260657180149
transfer,classify,CE-largest,CORnet_Z,2,0.0,0.6259595254710397,1433,0.6987137883430932
transfer,classify,CE-largest,CORnet_Z,2,1.0,0.4927536231884058,276,0.550894875704158
transfer,classify,CE-largest,CORnet_Z,2,2.0,0.48,25,0.40307596306522275
transfer,classify,CE-largest,CORnet_Z,2,3.0,0.16666666666666666,6,0.25525705042628755
transfer,classify,CE-largest,CORnet_Z,2,4.0,0.25,4,0.10743813778735234
transfer,classify,CE-random,CORnet_Z,2,0.0,0.6231681786461968,1433,0.626081664593384
transfer,classify,CE-random,CORnet_Z,2,1.0,0.5036231884057971,276,0.536053302335225
transfer,classify,CE-random,CORnet_Z,2,2.0,0.52,25,0.44602494007706583
transfer,classify,CE-random,CORnet_Z,2,3.0,0.3333333333333333,6,0.3559965778189068
transfer,classify,CE-random,CORnet_Z,2,4.0,0.25,4,0.26596821556074773
initialize,classify,CE-largest,CORnet_Z,3,0.0,0.5163991625959525,1433,0.5117182863557753
initialize,classify,CE-largest,CORnet_Z,3,1.0,0.42391304347826086,276,0.40255703045197566
initialize,classify,CE-largest,CORnet_Z,3,2.0,0.36,25,0.293395774548176
initialize,classify,CE-largest,CORnet_Z,3,3.0,0.16666666666666666,6,0.18423451864437634
initialize,classify,CE-largest,CORnet_Z,3,4.0,0.0,4,0.07507326274057669
transfer,classify,CE-largest,CORnet_Z,3,0.0,0.5959525471039777,1433,0.6318138419450428
transfer,classify,CE-largest,CORnet_Z,3,1.0,0.4782608695652174,276,0.4839949293061075
transfer,classify,CE-largest,CORnet_Z,3,2.0,0.44,25,0.3361760166671723
transfer,classify,CE-largest,CORnet_Z,3,3.0,0.16666666666666666,6,0.18835710402823708
