CI95%,dof,loss_func,method,mode,net_name,power,pval,r
"[-0.99, -0.96]",23,CE-random,transfer,classify,CORnet_S,1.0,6.974599496888913e-19,-0.9844714660161018
"[-0.99, -0.94]",23,CE-random,transfer,classify,CORnet_Z,1.0,1.8919193564383139e-16,-0.9746170262018472
"[-0.99, -0.97]",23,CE-random,transfer,classify,VGG16,1.0,4.030048145224963e-20,-0.9878987227316315
"[-0.99, -0.97]",23,CE-random,transfer,classify,alexnet,1.0,4.1775423282412327e-19,-0.9851526480614943
"[-1.0, -0.98]",23,CE-largest,transfer,classify,CORnet_S,1.0,1.1098049548684471e-22,-0.9927668862383262
"[-0.99, -0.96]",23,CE-largest,transfer,classify,CORnet_Z,1.0,1.0315777198616603e-18,-0.9839301815829927
"[-0.99, -0.94]",23,CE-largest,transfer,classify,VGG16,0.9999999999999998,5.927457526771383e-16,-0.9719350108444343
"[-0.99, -0.97]",23,CE-largest,transfer,classify,alexnet,1.0,4.0180239476400426e-19,-0.9852031441541973
"[-0.98, -0.89]",23,BCE,transfer,classify,CORnet_S,0.9999999999898169,4.3948136359809836e-13,-0.9496652062375128
"[-0.79, -0.22]",23,BCE,transfer,classify,CORnet_Z,0.8662471372857813,0.003100812990945223,-0.5673197356153071
"[-0.99, -0.96]",23,BCE,transfer,classify,VGG16,1.0,1.7270101034061324e-18,-0.9831884605889389
"[-0.98, -0.9]",23,BCE,transfer,classify,alexnet,0.9999999999977872,1.5740275828363072e-13,-0.9540511141937945
"[-0.98, -0.88]",23,CE-largest,initialize,classify,CORnet_S,0.9999999999602253,1.1255248462318745e-12,-0.9452729137399197
"[-0.99, -0.95]",23,CE-largest,initialize,classify,CORnet_Z,1.0,4.7268252652374205e-17,-0.9775286542326217
"[-0.93, -0.66]",23,CE-largest,initialize,classify,VGG16,0.9999351098925998,1.6220916786494146e-07,-0.838883934797226
"[-0.98, -0.91]",23,CE-largest,initialize,classify,alexnet,0.9999999999998147,3.136850822078457e-14,-0.9601687960767756
"[0.67, 0.93]",23,BCE,initialize,classify,CORnet_S,0.9999534900717305,1.1562886156422402e-07,0.8439112384645165
"[0.63, 0.92]",23,BCE,initialize,classify,CORnet_Z,0.9997874608358028,5.632720619268688e-07,0.8188245824158131
"[-0.06, 0.65]",23,BCE,initialize,classify,VGG16,0.3970525067876797,0.09444670703310723,0.3418168734877457
"[-0.61, 0.12]",23,BCE,initialize,classify,alexnet,0.2940189852135362,0.16147796151672916,-0.28880040415763797
